seq,kind,plan_name,law,article,edition,period,cycle,ministry,confidence,has_doc,doc_file,doc_size,doc_note,remark,source_url,note,display,order
22,본번,교육시설기본계획,「교육시설 등의 안전 및 유지관리 등에 관한 법률」,제5조제1항,제1차,2022~2026,5년,교육부,확인,FALSE,,,,,https://www.moe.go.kr,제2차(2027~2031) 발표됨 - 현행은 제1차,TRUE,22
23,본번,교육환경보호기본계획,「교육환경 보호에 관한 법률」,제4조제1항,제2차,2023~2027,5년,교육부,확인,FALSE,,,,,https://www.schoolkeepa.or.kr/cop/bbs/selectArticleList.do?bbsId=BBSMSTR_000000000021,직전 제1차(2018~2022),TRUE,23
24,본번,교통안전에 관한 기본계획,「교통안전법」,제15조제1항,제9차,2022~2026,5년,국토교통부,확인,TRUE,/plans/교통안전에 관한 기본계획_제9차.pdf,87371195,,,https://www.codil.or.kr/viewDtlConRpt.do?pMetaCode=OTKCRK230415,국가교통안전기본계획,TRUE,24
25,본번,구직자 취업지원 기본계획,「구직자 취업촉진 및 생활안정지원에 관한 법률」,제5조제1항,제1차,2022~2026,5년,고용노동부,확인,TRUE,/plans/구직자 취업지원 기본계획_제1차.pdf,5754162,,,https://www.moel.go.kr/news/enews/report/enewsView.do?news_seq=13661,제1차 국민취업지원 기본계획. 2022.6.22 고용정책심의회 의결,TRUE,25
26,본번,국가공간정보정책 기본계획,「국가공간정보 기본법」,제6조제1항,제7차,2023~2027,5년,국토교통부,확인,TRUE,/plans/국가공간정보정책 기본계획_제7차.pdf,2321912,,,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17839,,TRUE,26
27,본번,이공계 인력 육성ㆍ지원 기본계획,「국가과학기술 경쟁력 강화를 위한 이공계지원 특별법」,제4조제1항,제4차,2021~2025,5년,과학기술정보통신부,확인,TRUE,/plans/이공계 인력 육성ㆍ지원 기본계획_제4차.pdf,2318939,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.kistep.re.kr/board.es?mid=a10305080000&bid=0002&act=view&list_no=34616,제4차 과학기술인재 육성·지원 기본계획,TRUE,27
28,본번,지방시대 종합계획,「지방자치분권 및 지역균형발전에 관한 특별법」,제6조제1항,제1차,2023~2027,5년,지방시대위원회,확인,TRUE,/plans/지방시대 종합계획_제1차.pdf,39372780,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000041560,2023.10.30 국무회의,TRUE,28
29,본번,국가기간교통망에 관한 계획,「국가통합교통체계효율화법」,제4조제1항,제2차,2021~2040,20년,국토교통부,확인,TRUE,/plans/국가기간교통망에 관한 계획_제2차.pdf,10444846,,수립 후 5년마다 타당성 검토 규정,https://www.codil.or.kr/viewDtlConRpt.do?pMetaCode=OTKCRK230529,20년 단위,TRUE,29
30,본번,지능형 교통체계에 관한 국가 차원의 기본계획,「국가통합교통체계효율화법」,제73조제1항,차수없음,2021~2030,10년,국토교통부,확인,FALSE,,,,차수를 붙이지 않는 계획 · 수립 후 5년마다 타당성 검토 규정,https://www.molit.go.kr/USR/I0204/m_45/dtl.jsp?idx=17082,「지능형교통체계 기본계획 2030」 - 차수 대신 목표연도로 표기하는 계획,TRUE,30
31,본번,국가표준기본계획,「국가표준기본법」,제7조제1항,제5차,2021~2025,5년,산업통상자원부,확인,TRUE,/plans/국가표준기본계획_제5차.pdf,1164132,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.pacst.go.kr,제6차 여부 재확인 필요,TRUE,31
32,본번,안전교육기본계획,「국민 안전교육 진흥 기본법」,제5조제1항,제2차,2023~2027,5년,행정안전부,확인,FALSE,,,,,https://www.mois.go.kr,"제2차 국민 안전교육 기본계획. 26개 부처 합동, 중앙안전관리위 심의",TRUE,32
33,본번,직업능력개발기본계획,「국민 평생 직업능력 개발법」,제5조제1항,제4차,2023~2027,5년,고용노동부,확인,FALSE,,,,,https://www.moel.go.kr/policy/policydata/view.do?bbs_seq=20240401675,,TRUE,33
34,본번,국민건강증진종합계획,「국민건강증진법」,제4조제1항,제5차,2021~2030,5년,보건복지부,확인,TRUE,/plans/국민건강증진종합계획_제5차.pdf,5876861,,,https://www.mohw.go.kr/board.es?mid=a10401000000&bid=0008&act=view&list_no=365340,Health Plan 2030(HP2030),TRUE,34
35,본번,기초생활보장 기본계획,「국민기초생활 보장법」,제20조의2제1항,제3차,2024~2026,3년,보건복지부,확인,TRUE,/plans/기초생활보장 기본계획_제3차.pdf,4848221,,,https://www.mohw.go.kr/board.es?mid=a10107010100&bid=0038&act=view&list_no=1479416,3년 주기,TRUE,35
36,본번,국제개발협력 종합기본계획,「국제개발협력기본법」,제11조제1항,제4차,2026~2030,5년,국무조정실,확인,TRUE,/plans/국제개발협력 종합기본계획_제4차.pdf,1015694,,,https://www.opm.go.kr/opm/news/press-release.do?articleNo=161091,2026.3 확정,TRUE,36
37,본번,국제과학비즈니스벨트 기본계획,「국제과학비즈니스벨트 조성 및 지원에 관한 특별법」,제8조제1항,제2차,2022~2030,미확인,과학기술정보통신부,확인,TRUE,/plans/국제과학비즈니스벨트 기본계획_제2차.pdf,1611435,,법령에 수립주기 규정 없음,https://fliphtml5.com/lukuo/lsox/,2022.3 과학벨트위원회 확정,TRUE,37
38,본번,국토종합계획,「국토기본법」,제9조제1항,제5차,2020~2040,20년,국토교통부,확인,TRUE,/plans/국토종합계획_제5차.pdf,11164514,,,https://www.codil.or.kr/viewDtlConRpt.do?pMetaCode=OTKCRK200443,실천계획 2021~2025 별도,TRUE,38
39,본번,광역도시계획,「국토의 계획 및 이용에 관한 법률」,제11조제1항,,,5년,시·도지사,해당없음,TRUE,/plans/광역도시계획.pdf,388861,,국가계획이 아니라 지자체가 개별 수립,,대도시권별로 개별 수립하는 지자체 계획 - 단일 국가계획 아님,TRUE,39
40,본번,소음대책지역 소음 방지 및 소음피해 보상에 관한 기본계획,「군용비행장ㆍ군사격장 소음 방지 및 피해 보상에 관한 법률」,제7조제1항,제1차,2021~2025,5년,국방부,확인,TRUE,/plans/소음대책지역 소음 방지 및 소음피해 보상에 관한 기본계획_제1차.pdf,1706906,,계획기간 만료(2025년) — 후속 차수 미확인,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156419276,제2차 여부 재확인 필요,TRUE,40
41,본번,국가 탄소중립 녹색성장 기본계획,「기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법」,제10조제1항,제1차,2023~2042,5년,2050탄소중립녹색성장위원회,확인,TRUE,/plans/국가 탄소중립 녹색성장 기본계획_제1차.pdf,4035192,,,https://me.go.kr/home/web/policy_data/read.do?menuId=10259&seq=8084,"20년 계획, 5년마다 갱신",TRUE,41
42,본번,근로복지증진에 관한 기본계획,「근로복지기본법」,제9조제1항,제5차,2022~2026,5년,고용노동부,확인,TRUE,/plans/근로복지증진에 관한 기본계획_제5차.pdf,11314474,,,https://eiec.kdi.re.kr/policy/materialView.do?num=231496,,TRUE,42
43,본번,수변구역관리기본계획,「금강수계 물관리 및 주민지원 등에 관한 법률」,제4조의2제1항,,,5년,환경부,미확인,FALSE,,,,동일 명칭 계획이 수계별로 존재,,금강수계. 5년 주기,TRUE,43
44,본번,수변구역관리기본계획,「낙동강수계 물관리 및 주민지원 등에 관한 법률」,제4조의2제1항,,,5년,환경부,미확인,FALSE,,,,동일 명칭 계획이 수계별로 존재,,낙동강수계. 5년 주기,TRUE,44
45,본번,남녀고용평등 실현과 일ㆍ가정 양립에 관한 기본계획,「남녀고용평등과 일ㆍ가정 양립 지원에 관한 법률」,제6조의2제1항,제7차,2023~2027,5년,고용노동부,확인,FALSE,,,,,https://www.moel.go.kr/news/notice/noticeView.do?bbs_seq=20240800778,2024.8 발표,TRUE,45
46,본번,남북관계발전에 관한 기본계획,「남북관계 발전에 관한 법률」,제13조제1항,제4차,2023~2027,5년,통일부,확인,TRUE,/plans/남북관계발전에 관한 기본계획_제4차.pdf,364580,,,https://www.unikorea.go.kr/web/unikorea/bbs/bbs_0000000000000019/54332,통일부고시 2023-159,TRUE,46
47,본번,장기요양기본계획,「노인장기요양보험법」,제6조제1항,제3차,2023~2027,3년,보건복지부,확인,TRUE,/plans/장기요양기본계획_제3차.pdf,2424491,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000039850,,TRUE,47
48,본번,노후준비 지원에 관한 기본계획,「노후준비 지원법」,제5조제1항,제3차,2026~2030,5년,보건복지부,참고,FALSE,,,,확정본 미확인,https://www.korea.kr/news/policyNewsView.do?newsId=148943610,2025.12 확정 예정 발표. 확정본 보도 미확인,TRUE,48
49,본번,녹색건축물 기본계획,「녹색건축물 조성 지원법」,제6조제1항,제3차,2025~2029,5년,국토교통부,확인,TRUE,/plans/녹색건축물 기본계획_제3차.pdf,375213,,,https://eiec.kdi.re.kr/policy/materialView.do?num=261958,2024.12.31 고시,TRUE,49
50,본번,녹색융합클러스터 기본계획,「녹색융합클러스터의 조성 및 육성에 관한 법률」,제6조제1항,제1차,2023~2027,5년,환경부,확인,TRUE,/plans/녹색융합클러스터 기본계획_제1차.pdf,1065554,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000039063,,TRUE,50
51,본번,녹색제품의 구매촉진을 위한 기본계획,「녹색제품 구매촉진에 관한 법률」,제4조제1항,제4차,2021~2025,5년,환경부,확인,TRUE,/plans/녹색제품의 구매촉진을 위한 기본계획_제4차.pdf,14390133,,계획기간 만료(2025년) — 후속 차수 미확인,http://www.kwaste.or.kr/bbs/board.php?bo_table=board17&wr_id=137,제5차 여부 재확인 필요,TRUE,51
52,본번,농어업인 삶의 질 향상 및 농어촌 지역개발 기본계획,「농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법」,제5조제1항,제5차,2025~2029,5년,농림축산식품부,확인,TRUE,/plans/농어업인 삶의 질 향상 및 농어촌 지역개발 기본계획_제5차.pdf,294699,,,https://epts.kdi.re.kr/polcTmsesSrvc/them?SEARCH_CTE_SEQ=79447,,TRUE,52
53,본번,농어촌 정비 종합계획,「농어촌정비법」,제4조제1항,,,미확인,농림축산식품부,미확인,TRUE,/plans/농어촌 정비 종합계획.pdf,5119926,,수립 후 10년마다 타당성 검토 규정 · 법령에 수립주기 규정 없음,,농어촌정비법 제4조,TRUE,53
54,본번,농어촌용수 이용 합리화계획,「농어촌정비법」,제15조제1항,차수없음,2015~2024,미확인,농림축산식품부,참고,FALSE,,,,계획기간 만료(2024년) — 후속 차수 미확인 · 차수를 붙이지 않는 계획 · 수립 후 5년마다 타당성 검토 규정 · 법령에 수립주기 규정 없음,https://library.krihs.re.kr/login/10110/contents/5913582,농어촌용수이용합리화계획(2015~2024) 확인. 후속 계획 미확인,TRUE,54
55,본번,농어촌보건복지 기본계획,「농어촌주민의 보건복지 증진을 위한 특별법」,제7조제1항,제5차,2025~2029,5년,보건복지부,확인,TRUE,/plans/농어촌보건복지 기본계획_제5차.pdf,1182502,,,https://www.mohw.go.kr/board.es?bid=0038&list_no=1486260&mid=a10107010100,,TRUE,55
56,본번,농업ㆍ농촌 및 식품산업 발전계획,「농업ㆍ농촌 및 식품산업 기본법」,제14조제1항,제4차,2023~2027,5년,농림축산식품부,확인,TRUE,/plans/농업ㆍ농촌 및 식품산업 발전계획_제4차.pdf,4484814,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000037416,2023.4.6 발표,TRUE,56
57,본번,농업생명자원의 보존ㆍ관리 및 이용에 관한 기본계획,「농업생명자원의 보존ㆍ관리 및 이용에 관한 법률」,제5조제1항,제3차,2019~2023,5년,농림축산식품부,참고,FALSE,,,,계획기간 만료(2023년) — 후속 차수 미확인,http://www.wonyesanup.co.kr/news/articleView.html?idxno=28641,제4차 미확인 - 계획기간 만료,TRUE,57
58,본번,다문화가족정책에 관한 기본계획,「다문화가족지원법」,제3조의2제1항,제4차,2023~2027,5년,여성가족부,확인,TRUE,/plans/다문화가족정책에 관한 기본계획_제4차.pdf,156316,,,https://www.korea.kr/briefing/policyBriefingView.do?newsId=156565060,2023.4.27 다문화가족정책위원회 의결,TRUE,58
59,본번,다중이용업소의 안전관리기본계획,「다중이용업소의 안전관리에 관한 특별법」,제5조제1항,제4차,2024~2028,5년,소방청,확인,TRUE,/plans/다중이용업소의 안전관리기본계획_제4차.pdf,4358195,,,https://www.nfa.go.kr/nfa/news/notice/?boardId=bbs_0000000000000009&mode=view&cntId=528,,TRUE,59
60,본번,대기환경관리 기본계획,「대기관리권역의 대기환경개선에 관한 특별법」,제9조제1항,제2차,2025~2029,5년,환경부,확인,TRUE,/plans/대기환경관리 기본계획_제2차.pdf,4206332,,권역별로 각각 수립,https://me.go.kr/mamo/web/board/read.do?boardId=1717150,수도권 권역 기준. 수도권·중부·남부·동남권 4개 권역별로 각각 수립,TRUE,60
61,본번,대기환경개선 종합계획,「대기환경보전법」,제11조제1항,제3차,2023~2032,10년,환경부,확인,TRUE,/plans/대기환경개선 종합계획_제3차.pdf,2604239,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000042506,2022.12.27 발표,TRUE,61
62,본번,장거리이동대기오염물질피해방지 종합대책,「대기환경보전법」,제13조제1항,제1차,2018~2022,미확인,환경부,참고,TRUE,/plans/장거리이동대기오염물질피해방지 종합대책_제1차.pdf,46708124,,계획기간 만료(2022년) — 후속 차수 미확인 · 법령에 수립주기 규정 없음,http://www.me.go.kr/home/web/policy_data/read.do?menuId=10259&seq=7120,제2차 이후 확인 못함,TRUE,62
63,본번,대도시권 광역교통기본계획,「대도시권 광역교통 관리에 관한 특별법」,제3조제1항,제2차,2021~2040,20년,국토교통부(대광위),확인,TRUE,/plans/대도시권 광역교통기본계획_제2차.pdf,19682689,,,https://www.koti.re.kr/user/bbs/pmediaView.do?bbs_no=56383,20년 단위,TRUE,63
64,본번,대중교통기본계획,「대중교통의 육성 및 이용촉진에 관한 법률」,제5조제1항,제4차,2022~2026,5년,국토교통부,확인,TRUE,/plans/대중교통기본계획_제4차.pdf,28890392,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156492732,,TRUE,64
65,본번,댐관리기본계획,「댐건설 및 주변지역지원 등에 관한 법률」,제4조제1항,제1차,,10년,환경부,확인,FALSE,,,,수립 후 5년마다 타당성 검토 규정,https://me.go.kr/home/web/board/read.do?boardId=1658445,댐건설관리법 개정(2021.6) 후 최초 수립,TRUE,65
66,본번,도로건설ㆍ관리계획,「도로법」,제6조제1항,,,5년,도로관리청,해당없음,FALSE,,,,국가계획이 아니라 지자체가 개별 수립,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=4579,도로관리청별 수립. 상위계획은 제2차 국가도로망종합계획(2021~2030),TRUE,66
67,본번,도시ㆍ주거환경정비 기본계획,「도시 및 주거환경정비법」,제4조제1항,,,10년,시장·군수,해당없음,TRUE,/plans/도시ㆍ주거환경정비 기본계획.pdf,5999806,,국가계획이 아니라 지자체가 개별 수립 · 수립 후 5년마다 타당성 검토 규정,,도시 및 주거환경정비법상 지자체 수립,TRUE,67
68,본번,공원녹지기본계획,「도시공원 및 녹지 등에 관한 법률」,제9조제1항,,,5년,시장,해당없음,FALSE,,,,국가계획이 아니라 지자체가 개별 수립,https://www.law.go.kr/LSW/admRulInfoP.do?admRulSeq=2100000023942,지자체가 10년 단위로 수립,TRUE,68
69,본번,도시교통정비 기본계획,「도시교통정비 촉진법」,제5조제1항,,,20년,시장·군수,해당없음,TRUE,/plans/도시교통정비 기본계획.pdf,4437722,,국가계획이 아니라 지자체가 개별 수립,,도시교통정비 촉진법상 지자체 수립,TRUE,69
70,본번,도시숲등 기본계획,「도시숲 등의 조성 및 관리에 관한 법률」,제5조제1항,제2차,2018~2027,10년,산림청,참고,FALSE,,,,계획 명칭이 별표 표기와 다름,https://forest.go.kr/kfsweb/cop/bbs/selectBoardArticle.do?nttId=3126049,도시숲법(2021 시행) 이전 '도시림 기본계획' 명칭으로 수립. 법 개정 후 차수 재확인 필요,TRUE,70
71,본번,특정도서보전 기본계획,「독도 등 도서지역의 생태계보전에 관한 특별법」,제5조제1항,제2차,2015~2024,10년,환경부,참고,TRUE,/plans/특정도서보전 기본계획_제2차.pdf,1048996,,계획기간 만료(2024년) — 후속 차수 미확인,https://www.korea.kr/archive/expDocView.do?docId=36104,제3차 여부 재확인 필요,TRUE,71
72,본번,모자보건사업에 관한 기본계획,「모자보건법」,제5조제1항,,,미확인,보건복지부,미확인,FALSE,,,,법령에 수립주기 규정 없음,,모자보건법 제5조. 차수 표기 없음,TRUE,72
73,본번,문화유산기본계획,「문화유산의 보존 및 활용에 관한 법률」,제6조제1항,,,5년,국가유산청,참고,FALSE,,,,후속 계획 수립 진행 중,https://www.korea.kr/news/policyNewsView.do?newsId=148939039,국가유산기본법(2024) 체제에서 문화유산 기본계획 신규 수립 중,TRUE,73
73의2,가지번호,자연유산 보호계획,「자연유산의 보존 및 활용에 관한 법률」,제6조제1항,제1차,2025~2029,5년,국가유산청,확인,FALSE,,,,별표 가지번호 항목,https://www.khs.go.kr,자연유산 보호계획 - 자연유산 분야 최초 법정계획,TRUE,74
73의3,가지번호,무형유산기본계획,「무형유산의 보전 및 진흥에 관한 법률」,제7조제1항,제2차,2022~2026,5년,국가유산청,확인,TRUE,/plans/무형유산기본계획_제2차.pdf,3100860,,별표 가지번호 항목,https://www.khs.go.kr/gosi/selectGosiView.do?id=1401,문화재청 고시 2022-9 (무형문화재 보전 및 진흥 기본계획),TRUE,75
74,본번,국가물관리기본계획,「물관리기본법」,제27조제1항,제1차,2021~2030,10년,환경부,확인,TRUE,/plans/국가물관리기본계획_제1차.pdf,22310417,,수립 후 5년마다 타당성 검토 규정,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000029802,2021.6.8 국가물관리위원회 확정,TRUE,76
75,본번,국가물류기본계획,「물류정책기본법」,제11조제1항,제6차,2026~2035,5년,국토교통부·해양수산부,참고,FALSE,,,,,https://www.koti.re.kr/user/bbs/eventView.do?bbs_no=71338,2025.12.10 공청회 → 2026.1 국가물류정책위 확정·고시 예정. 확정 보도 미확인,TRUE,77
76,본번,물의 재이용 촉진에 관한 종합적인 기본계획,「물의 재이용 촉진 및 지원에 관한 법률」,제5조제1항,제2차,2021~2030,10년,환경부,확인,TRUE,/plans/물의 재이용 촉진에 관한 종합적인 기본계획_제2차.pdf,7598637,,,https://www.me.go.kr/home/web/policy_data/read.do?menuId=92&seq=7664,10년 주기,TRUE,78
77,본번,국가 물환경관리기본계획,「물환경보전법」,제23조의2제1항,제2차,2016~2025,10년,환경부,확인,FALSE,,,,계획기간 만료(2025년) — 후속 차수 미확인,https://repository.kei.re.kr/handle/2017.oak/20499,10년 주기. 제3차(2026~) 여부 재확인 필요,TRUE,79
78,본번,오염총량관리기본계획,「물환경보전법」,제4조의3제1항,,,미확인,시·도지사,해당없음,TRUE,/plans/오염총량관리기본계획.pdf,6186371,,국가계획이 아니라 지자체가 개별 수립 · 법령에 수립주기 규정 없음,,물환경보전법상 오염총량관리 대상 지자체가 수립,TRUE,80
79,본번,방사성폐기물 관리에 관한 기본계획,「방사성폐기물 관리법」,제6조제1항,제3차,2026~2030,5년,산업통상자원부,확인,TRUE,/plans/방사성폐기물 관리에 관한 기본계획_제3차.pdf,263053,,,https://www.korea.kr/briefing/pressReleaseView.do?newsId=156750347,"중·저준위 방사성폐기물 대상(고준위는 별도 계획). 2026.3.23 제12차 원자력진흥위 의결, 2054년 목표",TRUE,81
80,본번,백두대간보호 기본계획,「백두대간 보호에 관한 법률」,제4조제1항,제3차,2026~2035,10년,산림청,확인,TRUE,/plans/백두대간보호 기본계획_제3차.pdf,506301,,,https://www.etnews.com/20260114000141,2026.1 발표. 10년 주기,TRUE,82
81,본번,범죄피해자 보호ㆍ지원에 관한 기본계획,「범죄피해자 보호법」,제12조제1항,제4차,2022~2026,5년,법무부,확인,TRUE,/plans/범죄피해자 보호ㆍ지원에 관한 기본계획_제4차.pdf,563437,,,https://www.moj.go.kr/cvs/2698/subview.do,"제1차 2007~2011, 2차 2012~2016, 3차 2017~2021",TRUE,83
82,본번,국가보행안전 및 편의증진 기본계획,「보행안전 및 편의증진에 관한 법률」,제7조제1항,제1차,2022~2026,5년,행정안전부,확인,TRUE,/plans/국가보행안전 및 편의증진 기본계획_제1차.pdf,343493,,,https://nsp.nanet.go.kr/plan/subject/detail.do?nationalPlanControlNo=PLAN0000039099,2022.8.26 발표,TRUE,84
83,본번,부정경쟁방지등에 관한 기본계획,「부정경쟁방지 및 영업비밀보호에 관한 법률」,제2조의2제1항,제1차,2022~2026,5년,특허청,확인,TRUE,/plans/부정경쟁방지등에 관한 기본계획_제1차.pdf,1105787,,,https://www.kipo.go.kr/ko/kpoBultnFileDown.do?ntatcSeq=19056,2021.12.23 발표,TRUE,85
84,본번,뿌리산업 진흥 기본계획,「뿌리산업 진흥과 첨단화에 관한 법률」,제5조제1항,제3차,2023~2027,5년,산업통상자원부,확인,TRUE,/plans/뿌리산업 진흥 기본계획_제3차.pdf,848764,,,https://biz.katech.re.kr/core/?cid=24&uid=115&role=view,2023.5.30,TRUE,86
