code,name,org,portal,freq,domain,goals,keywords,note,url,org_url,display,order
K015,고용보험 통계,고용노동부,기관 누리집,월·연,복지,"1,8","고용보험,실업급여,가입률,피보험자",,https://kosis.kr/search/search.do?query=%EA%B3%A0%EC%9A%A9%EB%B3%B4%ED%97%98%20%ED%86%B5%EA%B3%84,https://www.moel.go.kr,TRUE,11
K016,장애인 실태조사,보건복지부,KOSIS,3년,복지,"1,4,8,10","장애인,장애,접근성,이동권",,https://kosis.kr/search/search.do?query=%EC%9E%A5%EC%95%A0%EC%9D%B8%20%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.mohw.go.kr,TRUE,12
K020,농림어업총조사,통계청,KOSIS,5년,농림어업,2,"농가,농업,경지,어가,임가,농림어업",,https://kosis.kr/search/search.do?query=%EB%86%8D%EB%A6%BC%EC%96%B4%EC%97%85%EC%B4%9D%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,13
K021,농가경제조사,통계청,KOSIS,연,농림어업,"2,8","농가소득,농업소득,농가부채,농업경영",,https://kosis.kr/search/search.do?query=%EB%86%8D%EA%B0%80%EA%B2%BD%EC%A0%9C%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,14
K022,식품수급표,한국농촌경제연구원,기관 누리집,연,식량,2,"식량자급률,곡물자급률,식품수급,칼로리",,https://kosis.kr/search/search.do?query=%EC%8B%9D%ED%92%88%EC%88%98%EA%B8%89%ED%91%9C,https://www.krei.re.kr,TRUE,15
K023,국민건강영양조사 — 식생활 부문,질병관리청,KOSIS,연,식량,"2,3","영양,식품안정성,결식,식생활,영양섭취",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EC%98%81%EC%96%91%EC%A1%B0%EC%82%AC%20%E2%80%94%20%EC%8B%9D%EC%83%9D%ED%99%9C%20%EB%B6%80%EB%AC%B8,https://www.kdca.go.kr,TRUE,16
K024,친환경농산물 인증 현황,국립농산물품질관리원,기관 누리집,연,농림어업,"2,12","친환경농업,유기농,인증면적,지속가능농업",,https://kosis.kr/search/search.do?query=%EC%B9%9C%ED%99%98%EA%B2%BD%EB%86%8D%EC%82%B0%EB%AC%BC%20%EC%9D%B8%EC%A6%9D%20%ED%98%84%ED%99%A9,https://www.naqs.go.kr,TRUE,17
K030,사망원인통계,통계청,KOSIS,연,건강,3,"사망률,사망원인,자살률,기대수명,조기사망,모성사망",,https://kosis.kr/search/search.do?query=%EC%82%AC%EB%A7%9D%EC%9B%90%EC%9D%B8%ED%86%B5%EA%B3%84,https://kostat.go.kr,TRUE,18
K031,국민건강영양조사,질병관리청,KOSIS,연,건강,"2,3","비만,흡연,음주,혈압,당뇨,고혈압,건강행태,유병",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EC%98%81%EC%96%91%EC%A1%B0%EC%82%AC,https://www.kdca.go.kr,TRUE,19
K032,지역사회건강조사,질병관리청,기관 누리집,연,건강,"3,10","건강격차,지역건강,주관적건강,건강수준",,https://kosis.kr/search/search.do?query=%EC%A7%80%EC%97%AD%EC%82%AC%ED%9A%8C%EA%B1%B4%EA%B0%95%EC%A1%B0%EC%82%AC,https://www.kdca.go.kr,TRUE,20
K033,국민건강보험통계연보,국민건강보험공단·건강보험심사평가원,기관 누리집,연,건강,3,"건강보험,진료비,본인부담,의료이용,보장률",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EA%B1%B4%EA%B0%95%EB%B3%B4%ED%97%98%ED%86%B5%EA%B3%84%EC%97%B0%EB%B3%B4,https://www.nhis.or.kr,TRUE,21
K034,감염병 감시연보,질병관리청,기관 누리집,연,건강,3,"감염병,결핵,예방접종,발생률",,https://kosis.kr/search/search.do?query=%EA%B0%90%EC%97%BC%EB%B3%91%20%EA%B0%90%EC%8B%9C%EC%97%B0%EB%B3%B4,https://www.kdca.go.kr,TRUE,22
K035,정신건강실태조사,보건복지부,기관 누리집,5년,건강,3,"정신건강,우울,자살생각,정신질환",,https://kosis.kr/search/search.do?query=%EC%A0%95%EC%8B%A0%EA%B1%B4%EA%B0%95%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.mohw.go.kr,TRUE,23
K036,온열질환 응급실감시체계,질병관리청,기관 누리집,연(하절기),건강,"3,13","온열질환,폭염,열사병,기후건강",,https://kosis.kr/search/search.do?query=%EC%98%A8%EC%97%B4%EC%A7%88%ED%99%98%20%EC%9D%91%EA%B8%89%EC%8B%A4%EA%B0%90%EC%8B%9C%EC%B2%B4%EA%B3%84,https://www.kdca.go.kr,TRUE,24
K040,교육기본통계,교육부·한국교육개발원,KOSIS,연,교육,4,"취학률,진학률,학생수,교원,학급,고등교육,유치원,학교",,https://kosis.kr/search/search.do?query=%EA%B5%90%EC%9C%A1%EA%B8%B0%EB%B3%B8%ED%86%B5%EA%B3%84,https://www.moe.go.kr,TRUE,25
K041,국가수준 학업성취도 평가,교육부·한국교육과정평가원,기관 누리집,연,교육,4,"학업성취,성취수준,기초학력,학습성과",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EA%B0%80%EC%88%98%EC%A4%80%20%ED%95%99%EC%97%85%EC%84%B1%EC%B7%A8%EB%8F%84%20%ED%8F%89%EA%B0%80,https://www.moe.go.kr,TRUE,26
K042,평생학습개인실태조사,교육부·한국교육개발원,KOSIS,연,교육,4,"평생학습,성인학습,직업훈련,참여율",,https://kosis.kr/search/search.do?query=%ED%8F%89%EC%83%9D%ED%95%99%EC%8A%B5%EA%B0%9C%EC%9D%B8%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.moe.go.kr,TRUE,27
K043,국제 학업성취도 평가(PISA),OECD,국제기구,3년,교육,4,"PISA,국제학업성취,읽기,수학,과학",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EC%A0%9C%20%ED%95%99%EC%97%85%EC%84%B1%EC%B7%A8%EB%8F%84%20%ED%8F%89%EA%B0%80(PISA),https://www.oecd.org,TRUE,28
K044,유아교육·보육 통계,교육부·보건복지부,KOSIS,연,교육,"4,5","보육,어린이집,영유아,보육교사,돌봄",,https://kosis.kr/search/search.do?query=%EC%9C%A0%EC%95%84%EA%B5%90%EC%9C%A1%C2%B7%EB%B3%B4%EC%9C%A1%20%ED%86%B5%EA%B3%84,https://www.moe.go.kr,TRUE,29
K050,양성평등 실태조사,여성가족부,기관 누리집,3년,성평등,5,"성평등,양성평등,성역할,성차별",,https://kosis.kr/search/search.do?query=%EC%96%91%EC%84%B1%ED%8F%89%EB%93%B1%20%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.mogef.go.kr,TRUE,30
K051,여성경제활동 통계,고용노동부·통계청,KOSIS,연,성평등,"5,8","여성고용,여성경제활동,성별임금격차,경력단절,여성관리자",,https://kosis.kr/search/search.do?query=%EC%97%AC%EC%84%B1%EA%B2%BD%EC%A0%9C%ED%99%9C%EB%8F%99%20%ED%86%B5%EA%B3%84,https://www.moel.go.kr,TRUE,31
K052,가정폭력·성폭력 실태조사,여성가족부,기관 누리집,3년,성평등,"5,16","가정폭력,성폭력,폭력피해,여성폭력",,https://kosis.kr/search/search.do?query=%EA%B0%80%EC%A0%95%ED%8F%AD%EB%A0%A5%C2%B7%EC%84%B1%ED%8F%AD%EB%A0%A5%20%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.mogef.go.kr,TRUE,32
K053,성별 의사결정 참여 현황,여성가족부,e-나라지표,연,성평등,"5,16","여성의원,여성관리직,의사결정,대표성,성비",,https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?searchWord=%EC%84%B1%EB%B3%84%20%EC%9D%98%EC%82%AC%EA%B2%B0%EC%A0%95%20%EC%B0%B8%EC%97%AC%20%ED%98%84%ED%99%A9,https://www.mogef.go.kr,TRUE,33
K060,상수도 통계,환경부,기관 누리집,연,물,6,"상수도,급수,보급률,수돗물,누수,유수율",,https://kosis.kr/search/search.do?query=%EC%83%81%EC%88%98%EB%8F%84%20%ED%86%B5%EA%B3%84,https://www.me.go.kr,TRUE,34
K061,하수도 통계,환경부,기관 누리집,연,물,"6,11","하수도,하수처리,분뇨,하수관로",,https://kosis.kr/search/search.do?query=%ED%95%98%EC%88%98%EB%8F%84%20%ED%86%B5%EA%B3%84,https://www.me.go.kr,TRUE,35
K062,물환경측정망 운영결과(수질측정망),국립환경과학원,기관 누리집,월·연,물,"6,14","수질,BOD,COD,총인,하천,호소,좋은물",,https://kosis.kr/search/search.do?query=%EB%AC%BC%ED%99%98%EA%B2%BD%EC%B8%A1%EC%A0%95%EB%A7%9D%20%EC%9A%B4%EC%98%81%EA%B2%B0%EA%B3%BC(%EC%88%98%EC%A7%88%EC%B8%A1%EC%A0%95%EB%A7%9D),https://www.nier.go.kr,TRUE,36
K063,지하수 조사연보,환경부·한국수자원공사,기관 누리집,연,물,6,"지하수,관정,지하수위,함양",,https://kosis.kr/search/search.do?query=%EC%A7%80%ED%95%98%EC%88%98%20%EC%A1%B0%EC%82%AC%EC%97%B0%EB%B3%B4,https://www.me.go.kr,TRUE,37
K064,수자원 이용현황(水利),환경부·한국수자원공사,기관 누리집,연,물,6,"물이용,용수,물수급,가뭄,저수율,수자원",,https://kosis.kr/search/search.do?query=%EC%88%98%EC%9E%90%EC%9B%90%20%EC%9D%B4%EC%9A%A9%ED%98%84%ED%99%A9(%E6%B0%B4%E5%88%A9),https://www.me.go.kr,TRUE,38
K070,에너지통계연보,에너지경제연구원,기관 누리집,연,에너지,"7,12","에너지,1차에너지,최종에너지,에너지소비,에너지원단위",,https://kosis.kr/search/search.do?query=%EC%97%90%EB%84%88%EC%A7%80%ED%86%B5%EA%B3%84%EC%97%B0%EB%B3%B4,https://www.keei.re.kr,TRUE,39
K071,신재생에너지 보급통계,한국에너지공단,기관 누리집,연,에너지,"7,13","신재생,재생에너지,태양광,풍력,보급률,발전비중",,https://kosis.kr/search/search.do?query=%EC%8B%A0%EC%9E%AC%EC%83%9D%EC%97%90%EB%84%88%EC%A7%80%20%EB%B3%B4%EA%B8%89%ED%86%B5%EA%B3%84,https://www.energy.or.kr,TRUE,40
K072,전력통계정보시스템(EPSIS),전력거래소,기관 누리집,월·연,에너지,"7,9,13","전력,발전량,발전설비,전력수요,발전믹스,전기,전력소비,송전,배전,예비율,설비용량",발전량·설비·수요·연료원별 발전믹스까지 전력 관련 통계가 가장 촘촘하다. 에너지·기후 지표의 1차 출처.,https://epsis.kpx.or.kr,https://www.kpx.or.kr,TRUE,41
K073,에너지총조사,산업통상자원부·에너지경제연구원,기관 누리집,3년,에너지,"7,12","에너지이용,에너지효율,부문별에너지",,https://kosis.kr/search/search.do?query=%EC%97%90%EB%84%88%EC%A7%80%EC%B4%9D%EC%A1%B0%EC%82%AC,https://www.motie.go.kr,TRUE,42
K074,에너지바우처·에너지복지 현황,산업통상자원부·한국에너지공단,기관 누리집,연,에너지,"1,7","에너지복지,에너지빈곤,바우처,냉난방",,https://kosis.kr/search/search.do?query=%EC%97%90%EB%84%88%EC%A7%80%EB%B0%94%EC%9A%B0%EC%B2%98%C2%B7%EC%97%90%EB%84%88%EC%A7%80%EB%B3%B5%EC%A7%80%20%ED%98%84%ED%99%A9,https://www.motie.go.kr,TRUE,43
K080,경제활동인구조사,통계청,KOSIS,월·연,고용,"5,8,10","고용률,실업률,취업자,경제활동참가,비정규직,임금근로",,https://kosis.kr/search/search.do?query=%EA%B2%BD%EC%A0%9C%ED%99%9C%EB%8F%99%EC%9D%B8%EA%B5%AC%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,44
K081,지역별고용조사,통계청,KOSIS,반기,고용,"8,10","지역고용,시군구,취업,일자리",,https://kosis.kr/search/search.do?query=%EC%A7%80%EC%97%AD%EB%B3%84%EA%B3%A0%EC%9A%A9%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,45
K082,고용형태별근로실태조사,고용노동부,KOSIS,연,고용,"5,8,10","임금,근로시간,임금격차,고용형태,시간당임금",,https://kosis.kr/search/search.do?query=%EA%B3%A0%EC%9A%A9%ED%98%95%ED%83%9C%EB%B3%84%EA%B7%BC%EB%A1%9C%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.moel.go.kr,TRUE,46
K083,국민계정,한국은행,기관 누리집,분기·연,경제,"8,9,12","GDP,국내총생산,경제성장률,1인당,부가가치,국민소득",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EA%B3%84%EC%A0%95,https://www.bok.or.kr,TRUE,47
K084,산업재해현황분석,고용노동부·안전보건공단,기관 누리집,연,고용,8,"산업재해,재해율,사고사망,산재,안전보건",,https://kosis.kr/search/search.do?query=%EC%82%B0%EC%97%85%EC%9E%AC%ED%95%B4%ED%98%84%ED%99%A9%EB%B6%84%EC%84%9D,https://www.moel.go.kr,TRUE,48
K085,청년 고용동향,통계청·고용노동부,e-나라지표,월·연,고용,"4,8","청년고용,청년실업,니트,청년",,https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?searchWord=%EC%B2%AD%EB%85%84%20%EA%B3%A0%EC%9A%A9%EB%8F%99%ED%96%A5,https://kostat.go.kr,TRUE,49
K090,연구개발활동조사,과학기술정보통신부·KISTEP,KOSIS,연,과학기술,9,"연구개발,R&D,연구원,특허,혁신,GDP대비",,https://kosis.kr/search/search.do?query=%EC%97%B0%EA%B5%AC%EA%B0%9C%EB%B0%9C%ED%99%9C%EB%8F%99%EC%A1%B0%EC%82%AC,https://www.msit.go.kr,TRUE,50
K091,광업·제조업조사,통계청,KOSIS,연,산업,9,"제조업,사업체,출하액,부가가치,종사자",,https://kosis.kr/search/search.do?query=%EA%B4%91%EC%97%85%C2%B7%EC%A0%9C%EC%A1%B0%EC%97%85%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,51
K092,인터넷이용실태조사,과학기술정보통신부·한국지능정보사회진흥원,KOSIS,연,정보통신,"9,10,17","인터넷,정보화,디지털,이용률,정보격차,ICT",,https://kosis.kr/search/search.do?query=%EC%9D%B8%ED%84%B0%EB%84%B7%EC%9D%B4%EC%9A%A9%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.msit.go.kr,TRUE,52
K093,국토교통 통계연보,국토교통부,기관 누리집,연,국토교통,"9,11","도로,철도,교통,사회기반시설,SOC,물류",,https://kosis.kr/search/search.do?query=%EA%B5%AD%ED%86%A0%EA%B5%90%ED%86%B5%20%ED%86%B5%EA%B3%84%EC%97%B0%EB%B3%B4,https://www.molit.go.kr,TRUE,53
K094,중소기업 실태조사,중소벤처기업부,KOSIS,연,산업,"8,9","중소기업,소상공인,창업,기업규모",,https://kosis.kr/search/search.do?query=%EC%A4%91%EC%86%8C%EA%B8%B0%EC%97%85%20%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.mss.go.kr,TRUE,54
K100,소득분배지표,통계청,e-나라지표,연,소득분배,10,"지니계수,소득5분위배율,상대적빈곤율,소득분배,불평등",,https://www.index.go.kr/unity/potal/main/EachDtlPageDetail.do?searchWord=%EC%86%8C%EB%93%9D%EB%B6%84%EB%B0%B0%EC%A7%80%ED%91%9C,https://kostat.go.kr,TRUE,55
K101,이민자 체류실태 및 고용조사,통계청·법무부,KOSIS,연,이주,10,"이주민,외국인,체류,다문화,이민",,https://kosis.kr/search/search.do?query=%EC%9D%B4%EB%AF%BC%EC%9E%90%20%EC%B2%B4%EB%A5%98%EC%8B%A4%ED%83%9C%20%EB%B0%8F%20%EA%B3%A0%EC%9A%A9%EC%A1%B0%EC%82%AC,https://kostat.go.kr,TRUE,56
K102,국민 다문화수용성 조사,여성가족부,기관 누리집,3년,이주,"10,16","다문화수용성,차별,포용,인식",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%20%EB%8B%A4%EB%AC%B8%ED%99%94%EC%88%98%EC%9A%A9%EC%84%B1%20%EC%A1%B0%EC%82%AC,https://www.mogef.go.kr,TRUE,57
K103,사회통합실태조사,한국행정연구원,기관 누리집,연,사회,"10,16","신뢰,사회통합,정치효능감,기관신뢰,차별경험",,https://kosis.kr/search/search.do?query=%EC%82%AC%ED%9A%8C%ED%86%B5%ED%95%A9%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.kipa.re.kr,TRUE,58
K110,주거실태조사,국토교통부,기관 누리집,연,주거,11,"주거,최저주거기준,자가점유,주거비,PIR,주거복지",,https://kosis.kr/search/search.do?query=%EC%A3%BC%EA%B1%B0%EC%8B%A4%ED%83%9C%EC%A1%B0%EC%82%AC,https://www.molit.go.kr,TRUE,59
K111,주택총조사·주택보급률,통계청·국토교통부,KOSIS,연,주거,11,"주택,주택보급률,노후주택,공공임대",,https://kosis.kr/search/search.do?query=%EC%A3%BC%ED%83%9D%EC%B4%9D%EC%A1%B0%EC%82%AC%C2%B7%EC%A3%BC%ED%83%9D%EB%B3%B4%EA%B8%89%EB%A5%A0,https://kostat.go.kr,TRUE,60
K112,도시계획현황,국토교통부,기관 누리집,연,도시,"11,15","도시계획,용도지역,시가화,공원,녹지,도시면적",,https://kosis.kr/search/search.do?query=%EB%8F%84%EC%8B%9C%EA%B3%84%ED%9A%8D%ED%98%84%ED%99%A9,https://www.molit.go.kr,TRUE,61
K113,대중교통 현황조사,국토교통부,기관 누리집,연,교통,11,"대중교통,수단분담률,버스,지하철,저상버스,자전거",,https://kosis.kr/search/search.do?query=%EB%8C%80%EC%A4%91%EA%B5%90%ED%86%B5%20%ED%98%84%ED%99%A9%EC%A1%B0%EC%82%AC,https://www.molit.go.kr,TRUE,62
K114,교통사고 통계,도로교통공단·경찰청,KOSIS,연,교통,"3,11","교통사고,사고사망,보행자,교통안전",,https://kosis.kr/search/search.do?query=%EA%B5%90%ED%86%B5%EC%82%AC%EA%B3%A0%20%ED%86%B5%EA%B3%84,https://www.koroad.or.kr,TRUE,63
K115,문화유산 통계,국가유산청,기관 누리집,연,문화,11,"문화유산,세계유산,등재,보존,문화재",,https://kosis.kr/search/search.do?query=%EB%AC%B8%ED%99%94%EC%9C%A0%EC%82%B0%20%ED%86%B5%EA%B3%84,https://www.khs.go.kr,TRUE,64
K120,전국 폐기물 발생 및 처리현황,환경부·한국환경공단,기관 누리집,연,자원순환,"11,12","폐기물,생활폐기물,사업장폐기물,건설폐기물,재활용,매립,소각",,https://kosis.kr/search/search.do?query=%EC%A0%84%EA%B5%AD%20%ED%8F%90%EA%B8%B0%EB%AC%BC%20%EB%B0%9C%EC%83%9D%20%EB%B0%8F%20%EC%B2%98%EB%A6%AC%ED%98%84%ED%99%A9,https://www.me.go.kr,TRUE,65
K121,자원순환 통계(순환이용률),환경부,기관 누리집,연,자원순환,12,"순환이용,자원순환,재활용률,자원생산성,물질흐름",,https://kosis.kr/search/search.do?query=%EC%9E%90%EC%9B%90%EC%88%9C%ED%99%98%20%ED%86%B5%EA%B3%84(%EC%88%9C%ED%99%98%EC%9D%B4%EC%9A%A9%EB%A5%A0),https://www.me.go.kr,TRUE,66
K122,녹색제품 구매실적,환경부·한국환경산업기술원,기관 누리집,연,지속가능소비,12,"녹색제품,녹색구매,친환경인증,환경표지",,https://kosis.kr/search/search.do?query=%EB%85%B9%EC%83%89%EC%A0%9C%ED%92%88%20%EA%B5%AC%EB%A7%A4%EC%8B%A4%EC%A0%81,https://www.me.go.kr,TRUE,67
K123,화학물질 배출·이동량(PRTR),환경부·국립환경과학원,기관 누리집,연,화학물질,"3,12","화학물질,유해물질,배출량,유해성",,https://kosis.kr/search/search.do?query=%ED%99%94%ED%95%99%EB%AC%BC%EC%A7%88%20%EB%B0%B0%EC%B6%9C%C2%B7%EC%9D%B4%EB%8F%99%EB%9F%89(PRTR),https://www.me.go.kr,TRUE,68
K124,지속가능경영보고서 발간 현황,한국거래소·산업통상자원부,기관 누리집,연,지속가능경영,12,"지속가능경영,ESG,보고서 발간,기업공시",,https://kosis.kr/search/search.do?query=%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C%20%EB%B0%9C%EA%B0%84%20%ED%98%84%ED%99%A9,https://www.krx.co.kr,TRUE,69
K125,국민여행조사,문화체육관광부·한국문화관광연구원,KOSIS,연,관광,"8,12","관광,여행,생태관광,방문자",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EB%AF%BC%EC%97%AC%ED%96%89%EC%A1%B0%EC%82%AC,https://www.kcti.re.kr,TRUE,70
K130,국가 온실가스 인벤토리,환경부·온실가스종합정보센터,기관 누리집,연,기후,"7,13","온실가스,배출량,탄소,감축,인벤토리,CO2,탄소중립",,https://kosis.kr/search/search.do?query=%EA%B5%AD%EA%B0%80%20%EC%98%A8%EC%8B%A4%EA%B0%80%EC%8A%A4%20%EC%9D%B8%EB%B2%A4%ED%86%A0%EB%A6%AC,https://www.me.go.kr,TRUE,71
K131,기후변화 감시·예측 정보,기상청,기관 누리집,연,기후,13,"기온,강수,폭염일수,열대야,기후변화,이상기후",,https://kosis.kr/search/search.do?query=%EA%B8%B0%ED%9B%84%EB%B3%80%ED%99%94%20%EA%B0%90%EC%8B%9C%C2%B7%EC%98%88%EC%B8%A1%20%EC%A0%95%EB%B3%B4,https://www.kma.go.kr,TRUE,72
K132,재해연보·재난연감,행정안전부,기관 누리집,연,방재,"1,11,13","자연재해,피해액,이재민,침수,재난,방재",,https://kosis.kr/search/search.do?query=%EC%9E%AC%ED%95%B4%EC%97%B0%EB%B3%B4%C2%B7%EC%9E%AC%EB%82%9C%EC%97%B0%EA%B0%90,https://www.mois.go.kr,TRUE,73
K133,지자체 기후변화 적응대책 이행현황,환경부·한국환경연구원,기관 누리집,연,기후,13,"적응대책,기후적응,지자체,이행점검",,https://kosis.kr/search/search.do?query=%EC%A7%80%EC%9E%90%EC%B2%B4%20%EA%B8%B0%ED%9B%84%EB%B3%80%ED%99%94%20%EC%A0%81%EC%9D%91%EB%8C%80%EC%B1%85%20%EC%9D%B4%ED%96%89%ED%98%84%ED%99%A9,https://www.me.go.kr,TRUE,74
K134,배출권거래제 운영결과,환경부,기관 누리집,연,기후,13,"배출권,할당,거래제,감축의무",,https://kosis.kr/search/search.do?query=%EB%B0%B0%EC%B6%9C%EA%B6%8C%EA%B1%B0%EB%9E%98%EC%A0%9C%20%EC%9A%B4%EC%98%81%EA%B2%B0%EA%B3%BC,https://www.me.go.kr,TRUE,75
K140,대기환경연보,국립환경과학원,기관 누리집,연,대기,"3,11","미세먼지,초미세먼지,PM10,PM2.5,오존,이산화질소,대기질,대기오염",,https://kosis.kr/search/search.do?query=%EB%8C%80%EA%B8%B0%ED%99%98%EA%B2%BD%EC%97%B0%EB%B3%B4,https://www.nier.go.kr,TRUE,76
K141,대기오염물질 배출량(CAPSS),국립환경과학원,기관 누리집,연,대기,"3,11,12","대기배출,질소산화물,황산화물,휘발성유기화합물,배출원",,https://kosis.kr/search/search.do?query=%EB%8C%80%EA%B8%B0%EC%98%A4%EC%97%BC%EB%AC%BC%EC%A7%88%20%EB%B0%B0%EC%B6%9C%EB%9F%89(CAPSS),https://www.nier.go.kr,TRUE,77
K150,해양환경측정망 운영결과,해양수산부·해양환경공단,기관 누리집,연,해양,14,"해양수질,해양환경,연안,적조,해양오염",,https://kosis.kr/search/search.do?query=%ED%95%B4%EC%96%91%ED%99%98%EA%B2%BD%EC%B8%A1%EC%A0%95%EB%A7%9D%20%EC%9A%B4%EC%98%81%EA%B2%B0%EA%B3%BC,https://www.mof.go.kr,TRUE,78
K151,해양수산 통계연보,해양수산부,기관 누리집,연,해양,14,"수산,어업,어획량,양식,어선,수산자원",,https://kosis.kr/search/search.do?query=%ED%95%B4%EC%96%91%EC%88%98%EC%82%B0%20%ED%86%B5%EA%B3%84%EC%97%B0%EB%B3%B4,https://www.mof.go.kr,TRUE,79
