code,name,org,portal,freq,goals,targets,note,url,display,order
ST11,교육기본통계 (유·초·중등·고등),교육부·한국교육개발원,KOSIS·KEDI,연,4,"4-1,4-2,4-3,4-9,4-10",학생 수·학교 수·교원 수의 원천입니다. 학령인구(추계)와 실제 취학 인원의 차이를 확인할 수 있어 S01-I1 검증에 필요합니다.,,TRUE,11
ST12,국가 온실가스 인벤토리 보고서,환경부 온실가스종합정보센터,온실가스종합정보센터,연,"13,15","13-4,15-2",총배출량과 LULUCF 순흡수량의 공식 원천입니다. 부문별 배출 절대량을 받으면 S06-I3을 지수가 아니라 절대량 지표로 바꿀 수 있습니다.,,TRUE,12
ST13,지역 온실가스 인벤토리,환경부 온실가스종합정보센터,온실가스종합정보센터,연,"13,11","13-2,13-4","시도·시군구 단위 배출량입니다. 이 대시보드는 전국 단위라 쓰지 않았지만, 지역 분석으로 확장할 때 기본 자료가 됩니다.",,TRUE,13
ST14,국가 온실가스 배출·흡수계수 / 전력 배출계수,온실가스종합정보센터,온실가스종합정보센터,연,"7,13","7-2,13-4",S06-I1(전력 배출계수)의 기준값 출처입니다. 다만 미래 계수 전망은 공표되지 않아 전망 구간은 여전히 추정으로 남습니다.,,TRUE,14
ST15,에너지통계연보 / 에너지밸런스,에너지경제연구원,KESIS·KOSIS,연,"7,8","7-1,7-2,7-3","에너지 수입의존도의 공식 원천입니다. S06-I4는 통설 범위(92~94%)를 채택했으므로, 이 연보의 원표를 받으면 배지가 B에서 R로 올라갑니다.",,TRUE,15
ST16,신·재생에너지 보급통계,한국에너지공단 신재생에너지센터,KNREC·공공데이터포털,연,7,7-2,연도별 재생에너지 발전량 실적입니다. 이 시계열을 확보하면 S06-D3을 '판정 불가'에서 추세 판정 가능으로 바꿀 수 있습니다(현재 관측점 1개).,,TRUE,16
ST17,전력통계정보시스템(EPSIS) 발전량·설비 통계,전력거래소,EPSIS,월·연,"7,9","7-2,7-3",에너지원별 발전량 실적의 1차 원천입니다. 발전믹스 지표 세 개의 관측 시계열을 모두 여기서 만들 수 있습니다.,,TRUE,17
ST18,대기환경연보,국립환경과학원,에어코리아·KOSIS,연,"11,3","11-6,3-7",PM2.5 연평균 농도와 오존 환경기준 달성률의 공식 원천입니다. 시도별·측정소별 값도 있어 전국 평균이 가리는 지역 편차를 볼 수 있습니다.,,TRUE,18
ST19,대기오염물질 배출량 통계(CAPSS),국립환경과학원,국가미세먼지정보센터,연,"11,12","11-6,12-4","물질별 배출량 원표입니다. S08-D3이 '6~61%'라는 범위로만 표기된 것은 물질별 값을 확인하지 못했기 때문이며, CAPSS를 받으면 물질별로 분해할 수 있습니다.",,TRUE,19
ST20,상수도통계 / 하수도통계,환경부,KOSIS·물정보포털,연,"6,12","6-1,6-2,6-4",1인당 일일 급수량(생활용수 사용량)의 공식 원천입니다. S09-I3의 국내값을 원표로 대체할 수 있습니다.,,TRUE,20
ST21,수자원장기종합계획 / 물이용 현황,환경부·한국수자원공사,물정보포털(WAMIS),비정기·연,6,"6-4,6-5","물부족량·가용수자원량·취수율의 산정 근거입니다. 이 대시보드에서 물 지표들의 신뢰도가 낮은 이유가 원 산정표를 확보하지 못한 데 있어, 보강 우선순위가 가장 높은 통계입니다.",,TRUE,21
ST22,국가가뭄정보통계 / 가뭄 현황,행정안전부·K-water,국가가뭄정보포털,수시·연,"6,13","6-4,13-1",가뭄 발생 빈도·지속기간의 실적 자료입니다. 최대 가뭄 시 부족량(5.5억 톤)의 전제를 확인할 때 필요합니다.,,TRUE,22
ST23,식품수급표,한국농촌경제연구원,KREI·KOSIS,연,2,"2-1,2-3",식량자급률·곡물자급률의 공식 산출표입니다. 장기 시계열을 받으면 S09-I2가 '판정 불가'(관측점 1개)에서 추세 판정 가능으로 바뀝니다 — 이 대시보드에서 가장 확실한 보강 효과가 나는 통계입니다.,,TRUE,23
ST24,농작물생산조사 / 농림어업조사,통계청(국가데이터처),KOSIS,연,2,"2-2,2-3",작물별 재배면적과 단위면적당 수량의 원천입니다. 벼 생산성 변화(S03-I4)를 해외 연구 환산이 아니라 국내 실측 추세로 바꿀 수 있습니다.,,TRUE,24
ST25,과수 재배지 변동 예측 / 농업기후 전자기후도,농촌진흥청 국립원예특작과학원,과수생육품질관리시스템,비정기,"2,13","2-3,2-4,13-1",사과 재배적지 면적 전망의 원천입니다. 작물별·시나리오별 지도를 제공해 다른 작물로 확장할 수 있습니다.,,TRUE,25
ST26,어업생산동향조사 / 어업생산통계,통계청·해양수산부,KOSIS,월·연,"14,2","14-4,14-2",연근해 어업생산량 장기 시계열의 원천입니다. 이 대시보드에서 외삽 근거가 가장 튼튼한 전망(P6)이 여기서 나왔습니다.,,TRUE,26
ST27,전국 갯벌면적 조사,해양수산부·해양환경공단,해수부,5년 내외,"14,15","14-2,14-5",갯벌 총면적의 기준값 출처입니다. 다만 해수면 상승에 따른 갯벌 손실 전망은 국내 공표치가 없어 S10-I2의 손실률(40%)은 여전히 추정입니다.,,TRUE,27
ST28,조위관측 자료 / 해수면 변동 분석,국립해양조사원(KHOA),KHOA 바다누리,실시간·연,"14,13","13-1,14-3","관측 해수면 상승률의 원천입니다. 관측소별 원자료를 받으면 S10-D2의 최근 10년 값(현재 자체 추정)을 실측으로, S10-I4의 고조위 빈도를 개념 추정에서 실제 극값 분석으로 대체할 수 있습니다.",,TRUE,28
ST29,기후변화 시나리오 (SSP 남한상세),기상청 국립기상과학원,기후정보포털,비정기,13,"13-1,13-4","기후 시나리오 8개 지표 전부의 원천입니다. 포털에서 격자별·기간별 값을 직접 받을 수 있어, 이 대시보드가 보간으로 채운 21세기 중반기 값을 공표값으로 대체할 수 있습니다.",,TRUE,29
ST30,기상연보 / 기후통계분석,기상청,기상자료개방포털,연,13,13-1,폭염일수·열대야일수의 관측 실적입니다. 시나리오 전망값과 실제 관측을 대조해 시나리오가 얼마나 맞고 있는지 볼 수 있습니다.,,TRUE,30
ST31,재해연보 / 재난연감,행정안전부,e-나라지표·행안부,연,"11,13","11-5,13-1",자연재해 인명·재산 피해의 공식 원천입니다. 연도별 단년 시계열을 받으면 S04-I4의 관측점 불일치(10년 평균 vs 단년) 문제가 해소되어 전망 발행이 가능해집니다.,,TRUE,31
ST32,산림기본통계 / 임업통계연보,산림청,KOSIS·산림청,연·5년,"15,13","15-2,15-1,13-4","임령 구조와 산림면적의 원천입니다. S05-I4의 흡수량 감소율(연 1.5%)은 이 대시보드가 설정한 값이므로, 산림청 임분생장 자료로 교체해야 합니다.",,TRUE,32
ST33,국토조사 / 도시계획현황 통계,국토교통부,KOSIS·국토정보플랫폼,연,"11,15","11-3,11-7,15-3",지목별 토지이용 현황입니다. 태양광 설비의 실제 입지(산지·농지·건물)를 확인하면 S06-I2의 부지면적 추정을 실측으로 좁힐 수 있습니다.,,TRUE,33
ST34,국민계정 (GDP·국민소득),한국은행,ECOS·KOSIS,분기·연,"8,9","8-1,9-5","실질 GDP의 원천입니다. S05-I2의 분모가 여기서 나오며, 미래 GDP는 잠재성장률 전망(추정)에 의존합니다.",,TRUE,34
ST35,경제활동인구조사,통계청(국가데이터처),KOSIS,월,"8,4,10","8-2,8-4,4-4",고용률·실업률·경제활동참가율의 원천입니다. 생산연령인구 감소가 실제 노동투입 감소로 이어지는지 확인할 때 필요합니다.,,TRUE,35
ST36,연구개발활동조사,과학기술정보통신부·KISTEP,KOSIS·KISTEP,연,9,"9-4,9-3","GDP 대비 R&D 비율의 공식 원천입니다. 정부·민간 재원별로 나뉘어 있어, 재정압박이 정부 R&D를 실제로 줄이는지 추적할 수 있습니다.",,TRUE,36
ST37,국가재정운용계획 / 재정통계,기획재정부,열린재정·KOSIS,연,"17,1","1-2,10-4",국가채무와 의무지출 실적의 원천입니다. NABO 장기재정전망의 연도별 경로를 함께 받으면 S07-D2의 보간 구간(전부 E 배지)을 공표값으로 대체할 수 있습니다.,,TRUE,37
ST38,국민연금 통계연보 / 재정계산 결과,국민연금공단·보건복지부,국민연금공단·복지부,연·5년,"1,10","1-2,10-4","기금 소진 시점과 수급률·평균 가입기간의 원천입니다. S01-I4의 노인빈곤율 전망이 연금 성숙도 가정에 기대고 있어, 이 통계로 그 가정을 검증해야 합니다.",,TRUE,38
ST39,국세통계연보 / 조세부담률 통계,국세청·기획재정부,국세통계포털·e-나라지표,연,"10,17","10-4,17-1",조세부담률·국민부담률의 국내 원천입니다. S07-I2는 OECD 통계의 통상 인용값을 썼으므로 국내 원표로 교체하면 배지가 올라갑니다.,,TRUE,39
ST40,ODA 통계 / 국제개발협력 실적,국무조정실·KOICA·수출입은행,ODA Korea·OECD DAC,연,17,"17-1,17-4",ODA/GNI 비율의 국내 원천입니다. OECD DAC 통계와 함께 보면 국제 비교와 국내 실적을 동시에 확인할 수 있습니다.,,TRUE,40
ST41,응급의료 통계연보 / 응급의료 취약지 모니터링,보건복지부·국립중앙의료원 중앙응급의료센터,e-gen·복지부,연,"3,10","3-9,10-2","응급의료 취약지와 거주 인구의 공식 원천입니다. S02-I4는 이 대시보드에서 가정 의존도가 가장 높은 지표 중 하나이므로(탄력성 0.6은 임의값), 이 통계 확보의 효과가 큽니다.",,TRUE,41
ST42,지역별 의료이용 통계 / 의료기관 현황,건강보험심사평가원·보건복지부,HIRA 보건의료빅데이터,연,"3,10",3-9,"지방 의료기관 폐업 추세를 실측할 수 있어, S02-I4의 인구-의료기관 탄력성을 실제로 추정할 수 있게 해줍니다.",,TRUE,42
ST43,지역소득 (GRDP),통계청(국가데이터처),KOSIS,연,"8,10","10-2,8-1",시도별 1인당 지역내총생산입니다. 수도권 집중을 인구가 아니라 생산 기준으로 볼 때 필요합니다.,,TRUE,43
ST44,폐기물 발생 및 처리 현황,환경부·한국환경공단,자원순환정보시스템·KOSIS,연,"12,11","12-5,12-9,11-6",이 대시보드의 10개 시나리오가 폐기물을 다루지 않아 연결된 지표가 없습니다. 목표12를 본격적으로 다루려면 필요한 통계입니다.,,TRUE,44
ST45,화학물질 배출량 조사 / 화학물질 통계조사,환경부·한국환경공단,화학물질정보시스템,연·2년,"12,3","12-4,3-7",세부목표 3-7(유해화학물질로 인한 사망·질병)의 화학물질 쪽 절반을 재는 통계입니다. 이 대시보드는 대기 쪽만 다뤄 연결 지표가 없습니다.,,TRUE,45
ST46,생활시간조사,통계청(국가데이터처),KOSIS,5년,5,5-3,무보수 돌봄·가사노동 시간의 공식 원천입니다. 목표5는 이 대시보드의 시나리오 범위 밖이라 연결 지표가 없습니다.,,TRUE,46
ST47,양성평등 실태조사 / 성인지 통계,여성가족부,KOSIS·여가부,3년·연,5,"5-1,5-4,5-7",목표5 전반의 기본 통계입니다. 시나리오 10종이 성평등을 다루지 않아 미커버로 남은 영역(세부목표 7개 전부)입니다.,,TRUE,47
ST48,산업재해 현황분석,고용노동부·안전보건공단,KOSIS·안전보건공단,연,8,8-6,폭염일수 증가가 옥외 노동자 재해로 이어지는 경로를 확인할 수 있습니다. 온열질환 감시체계와 달리 업무상 재해로 집계됩니다.,,TRUE,48
ST49,외국인 체류 통계 / 이민자 체류실태·고용조사,법무부·통계청,KOSIS·법무부,월·연,"10,8","10-5,8-5",장래인구추계의 국제순이동 가정(연 4~6만 명)이 실제와 맞는지 확인하는 자료입니다. 이민정책 전환이 인구 시나리오를 바꾸는 가장 큰 변수입니다.,,TRUE,49
ST50,교통사고 통계분석,도로교통공단·경찰청,TAAS·KOSIS,연,"3,11","3-3,11-2",세부목표 3-3의 공식 지표 원천입니다. 이 대시보드의 시나리오와는 직접 연결되지 않습니다.,,TRUE,50
ST51,범죄통계 / 사법연감,경찰청·검찰청·법원행정처,KOSIS·기관,연,16,"16-1,16-2,16-3",목표16 전반의 기본 통계입니다. 목표16 세부목표 12개 전부가 이 대시보드에서 미커버로 남았습니다.,,TRUE,51
ST52,사회조사,통계청(국가데이터처),KOSIS,연(항목 순환),"1,10,16","10-2,16-7,1-3",삶의 질·사회통합·기관 신뢰 등 주관 지표의 원천입니다. 객관 지표만으로 잡히지 않는 포용성(10-2)을 보완합니다.,,TRUE,52
ST53,주거실태조사 / 주택보급률 통계,국토교통부,KOSIS·국토부,연,"11,1",11-1,빈집 증가가 주거비 부담 완화로 이어지는지 확인할 수 있습니다. 빈집이 많은 지역과 주거난 지역이 다르다는 점이 여기서 드러납니다.,,TRUE,53
ST54,K-SDGs 이행현황 / 국가지속가능성보고서,지속가능발전위원회·환경부,지속가능발전포털,2년·연,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17",,"K-SDGs 236개 공식 지표의 실제 값과 이행 평가가 실려 있습니다. 이 대시보드의 지표-세부목표 매칭(62건)을 정부 공식 대응표와 대조할 수 있는 유일한 자료로, 확보 우선순위가 가장 높습니다.",,TRUE,54
