code,scenario_code,name,unit,kind,sdg_primary,sdg_secondary,direction,strength,badge,confidence,headline,series_name,series,series_alt,method,order
S02-I1,S02,수도권 인구 비중,%,indirect,10,"11,8",negative,strong,S,mid,"50.6%(2022) → 약 53.5%(2052), 수도권도 줄지만 지방이 더 빨리 줄어 집중도는 상승",,"[{""y"":2022,""v"":50.6,""b"":""S"",""c"":""high""},{""y"":2032,""v"":51.6,""b"":""E"",""c"":""low""},{""y"":2042,""v"":52.5,""b"":""E"",""c"":""low""},{""y"":2052,""v"":53.5,""b"":""S"",""c"":""mid""}]",,"{""definition"":""전국 총인구 중 서울·인천·경기 합계 인구가 차지하는 비율. 국토 불균형(SDG10)의 대표 요약 지표입니다."",""sources"":[{""title"":""장래인구추계(시도편): 2022~2052년 — 2052년 수도권 인구는 2022년 대비 138만 명 감소"",""org"":""통계청"",""year"":2024,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156632807""},{""title"":""장래인구추계: 2022~2072년 — 전국 총인구"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""}],""steps"":[""① 2022년 수도권 인구 2,613만 명 ÷ 전국 5,167만 명 = 50.6%(S)."",""② 2052년 수도권 인구 = 2,613 − 138 = 2,475만 명(공표된 감소폭 적용)."",""③ 2052년 전국 총인구는 S01-D1의 2050년(4,711만)과 2060년(4,262만)을 보간해 4,624만 명으로 산출."",""④ 2,475 ÷ 4,624 = 53.5%(S)."",""⑤ 중간 연도는 두 끝점 선형 보간(E).""],""assumptions"":[""2052년 전국 총인구를 S01 중위 추계에서 보간해 사용(시도편과 전국편의 기준시점이 1년 차이 나는 점은 무시)""],""limits"":""분모(전국 총인구)가 보간값이라 소수점 아래 정밀도는 낮습니다. 또한 '수도권 인구도 감소한다'는 사실이 비중 지표에서는 드러나지 않으므로, 절대 인구 감소와 함께 읽어야 합니다."",""badge_reason"":""공표된 두 값(수도권 감소폭, 전국 총인구)을 나눈 계산이므로 S. 보간한 중간 연도는 E.""}",4
S02-I2,S02,전국 빈집 수,만 호,indirect,11,"1,10",negative,medium,E,low,"153만 호(2023, 주택의 7.9%) → 약 260만 호(2040) 추정",,"[{""y"":2015,""v"":106.9,""b"":""R"",""c"":""high""},{""y"":2023,""v"":153.5,""b"":""R"",""c"":""high""},{""y"":2030,""v"":191,""b"":""E"",""c"":""low""},{""y"":2040,""v"":259.9,""b"":""E"",""c"":""low""}]",,"{""definition"":""인구주택총조사 기준 빈집(조사시점에 사람이 살지 않는 주택, 미분양·이사·수리 등 일시적 공가 포함). 주거지 공동화와 지역 자산가치 하락을 보여주는 SDG11 지표입니다."",""sources"":[{""title"":""인구주택총조사 — 2023년 빈집 153만 호, 전체 주택의 7.9%(2015년 6.5%)"",""org"":""통계청"",""year"":2024,""url"":""https://www.newspim.com/news/view/20250306000838""}],""steps"":[""① 공표 실적치 2개를 확보: 2015년 106.9만 호(주택의 6.5%), 2023년 153.5만 호(7.9%)."",""② 8년간 연평균 증가율(CAGR) 산출: (153.5/106.9)^(1/8) − 1 = 4.62%/년."",""③ CAGR 외삽(M3)을 적용하되, 주택 신축이 둔화되는 점을 고려해 증가율을 3.2%/년으로 낮춰 적용했습니다(관측 CAGR의 약 70%)."",""④ 2030년 = 153.5 × 1.032^7 = 191.0만 호, 2040년 = 153.5 × 1.032^17 = 259.9만 호.""],""assumptions"":[""주택 멸실·리모델링 속도가 현재 수준에서 크게 변하지 않음"",""빈집 증가율을 관측치의 70%로 감쇠(신규 주택 공급 둔화 반영)""],""limits"":""빈집 통계는 정의에 따라 값이 크게 달라집니다. 통계청 총조사 기준은 153만 호지만, 한국부동산원의 '실제 방치 빈집' 기준은 4만 호대로 40배 가까이 차이 납니다. 이 지표는 통계청 정의를 따르며, 정책 대상이 되는 '방치 빈집'과는 다른 개념입니다. 외삽 감쇠율 0.7은 임의 선택이므로 미래값은 방향성 참고용입니다."",""badge_reason"":""실적치는 R, 2030년 이후는 자체 외삽이므로 지표 배지 E.""}",5
S02-I3,S02,"인구 1,000명당 빈집 수 지역격차","호/1,000명 (전남 대비 전국 배수)",indirect,10,11,negative,medium,R,high,전남 67.2호 vs 전국 평균 29.9호 — 비수도권 집중이 2.2배,전남,"[{""y"":2023,""v"":67.2,""b"":""R"",""c"":""high""}]","[{""name"":""강원"",""points"":[{""y"":2023,""v"":54}]},{""name"":""충남"",""points"":[{""y"":2023,""v"":53.1}]},{""name"":""전국 평균"",""ref"":true,""points"":[{""y"":2023,""v"":29.9}]}]","{""definition"":""인구 1,000명당 빈집 수. 절대 빈집 수는 경기(18.6%)가 가장 많지만, 인구 대비로 보면 지방이 압도적이라는 점을 드러내기 위한 지표입니다."",""sources"":[{""title"":""인구주택총조사 — 인구 1,000명당 빈집 수 전남 67.2호, 강원 54.0호, 충남 53.1호"",""org"":""통계청"",""year"":2024,""url"":""https://www.newspim.com/news/view/20250306000838""}],""steps"":[""시도별 공표값을 그대로 인용(R)."",""전국 평균은 직접 계산: 153.5만 호 ÷ 5,133만 명 × 1,000 = 29.9호(S).""],""assumptions"":[""2023년 11월 1일 조사기준시점 인구 사용""],""limits"":""단일 시점 값이라 시계열 추세를 보여주지 못합니다. 전국 평균만 계산값이고 시도별 값은 공표치입니다."",""badge_reason"":""시도별 값은 공표 인용 R, 전국 평균만 S.""}",6
S02-I4,S02,지방 의료 접근성 — 응급의료 취약지 거주 인구 비율,%,indirect,3,"10,11",negative,medium,E,low,"약 10%(2023) → 약 14%(2040) 추정, 인구감소지역 집중",,"[{""y"":2023,""v"":10,""b"":""B"",""c"":""mid""},{""y"":2030,""v"":11.6,""b"":""E"",""c"":""low""},{""y"":2040,""v"":14,""b"":""E"",""c"":""low""}]",,"{""definition"":""지역응급의료센터까지 30분 내, 권역응급의료센터까지 1시간 내 도달이 불가능한 지역(응급의료 취약지)에 거주하는 인구의 비율. K-SDGs 목표3의 보편적 의료접근성과 목표10의 지역격차를 잇는 지표입니다."",""sources"":[{""title"":""응급의료 취약지 모니터링 — 취약지 인구 약 500만 명(전 국민의 약 10%)"",""org"":""국립중앙의료원 중앙응급의료센터"",""year"":2023,""url"":""https://www.e-gen.or.kr/""}],""steps"":[""① 기준값: 응급의료 취약지 거주 인구 약 10%를 참조값으로 채택(B — 국내 공식 모니터링 자료를 2차 경로로 확인)."",""② 취약지의 거의 전부가 인구감소지역 89곳에 속한다는 점을 이용해, 인구감소지역의 인구 감소 속도와 의료기관 폐업 속도를 연결했습니다."",""③ 탄력성 계수법(M2): 지역 인구가 10% 감소할 때 해당 지역 응급의료기관 수가 약 6% 감소한다고 가정(ε=0.6). 근거는 2015~2023년 지방 중소병원 폐업 추세로부터의 개략 추정입니다."",""④ 인구감소지역 인구가 2040년까지 약 22% 감소한다고 보면 의료기관은 약 13% 감소 → 취약지 경계가 확장되어 취약지 인구 비율이 10.0% → 14.0%로 상승.""],""assumptions"":[""탄력성 ε=0.6은 관측 자료 없이 설정한 값입니다"",""공공의료 확충 정책(지방의료원 신설, 응급의료 전용헬기 확대)의 효과를 반영하지 않았습니다"",""도로망 개선으로 도달시간이 단축되는 효과도 반영하지 않았습니다""],""limits"":""이 지표는 이 대시보드에서 가장 가정 의존도가 높은 추정 중 하나입니다. 정부 공식 전망이 존재하지 않으며, 탄력성 계수는 정밀 추정이 아닌 개략값입니다. 숫자를 인용하지 말고 '지방 의료접근성이 인구감소보다 빠르게 악화될 수 있다'는 방향으로만 읽어야 합니다."",""badge_reason"":""기준값은 2차 경로 확인이라 B, 전망 구간은 자체 탄력성 가정이므로 E. 신뢰도 '하'.""}",7
S03-D1,S03,남한 연평균기온 상승폭,℃ (현재 대비),direct,13,"11,3",negative,strong,R,high,전반기 +1.3℃ → 후반기 +2.3℃,,"[{""y"":2010,""v"":0,""b"":""R"",""c"":""high""},{""y"":2030,""v"":1.3,""b"":""R"",""c"":""high""},{""y"":2050,""v"":1.8,""b"":""E"",""c"":""low""},{""y"":2090,""v"":2.3,""b"":""R"",""c"":""high""}]",,"{""definition"":""2000~2019년 20년 평균 대비 남한 육상 연평균기온의 상승폭(℃). x축 연도는 각 기간의 중앙값으로 표시했습니다(2030=2021~2040 전반기, 2090=2081~2100 후반기)."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 — 저탄소(SSP1-2.6) 전반기 +1.3℃, 후반기 +2.3℃"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""기상청 보도자료 본문의 남한 평균 전망값을 그대로 인용했습니다(R)."",""21세기 중반기(2041~2060) 값은 이 문서에 남한 평균으로 공표되지 않아, 전반기와 후반기 사이를 선형 보간해 +1.8℃로 채우고 E 배지를 부여했습니다.""],""assumptions"":[""기간 중앙값을 대표 연도로 사용(전반기 2030, 후반기 2090)""],""limits"":""SSP1-2.6은 승온이 세기 중반 이후 정체하는 경로이므로 실제 중반기 값은 선형 보간값보다 높을 가능성이 큽니다(즉 +1.8℃는 과소추정). 원 보고서의 중반기 표를 확인하면 대체해야 합니다."",""badge_reason"":""공표 문장에 명시된 값이므로 R, 보간한 중반기만 E.""}",1
S03-D2,S03,남한 연강수량 변화율,% (현재 대비),direct,6,"13,2",mixed,medium,R,high,전반기 거의 변화 없음 → 후반기 +3%,,"[{""y"":2010,""v"":0,""b"":""R"",""c"":""high""},{""y"":2030,""v"":0,""b"":""R"",""c"":""mid""},{""y"":2090,""v"":3,""b"":""R"",""c"":""high""}]",,"{""definition"":""2000~2019년 평균 대비 남한 연총강수량의 변화율(%)."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 — 저탄소 후반기 강수량 +3%"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""보도자료의 남한 평균 강수량 변화율을 인용했습니다."",""전반기는 '변화 없음'으로 서술되어 0%로 표기하고 신뢰도를 '중'으로 낮췄습니다(정확한 수치가 아닌 정성적 서술이기 때문).""],""assumptions"":[""'변화 없음'을 0%로 수치화""],""limits"":""연총강수량의 평균 변화는 작아 보이지만, 기후변화의 핵심은 총량이 아니라 분포입니다. 같은 총량에서 호우 집중과 무강수 지속일수가 동시에 늘어나 홍수와 가뭄이 함께 심해질 수 있으므로(S09 참조), 이 지표만으로 물 문제를 판단해서는 안 됩니다."",""badge_reason"":""공표값 인용, R.""}",2
S03-D3,S03,폭염일수(수도권 권역),일/년,direct,3,"13,11",negative,strong,R,mid,"7.8일(현재) → 25.0일(21세기 후반), 3.2배",,"[{""y"":2010,""v"":7.8,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":16,""b"":""E"",""c"":""low""},{""y"":2090,""v"":25,""b"":""R"",""c"":""mid""}]",,"{""definition"":""일최고기온이 33℃ 이상인 날의 연간 일수. 기상청 보도자료 부표의 권역별 표 중 수도권 행 값입니다."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 권역별 극한기후지수 표(수도권)"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""원 보도자료에는 극한기후지수가 6개 권역별(수도권·강원권·충청권·전라권·경상권·제주권)로만 제시되어 있고 남한 전체 평균 표가 없습니다. 따라서 인구가 가장 많은 수도권 값을 대표로 채택했습니다."",""현재값 7.8일과 후반기 25.0일은 공표 표 값(R)이며, 중반기는 두 값의 선형 보간(E)입니다.""],""assumptions"":[""수도권 값을 시나리오 대표값으로 사용(전국 평균과 다를 수 있음)""],""limits"":""수도권 기준이므로 남부지방(전라·경상·제주)은 이보다 폭염일수가 많습니다. 전국 평균이 필요하면 원 보고서의 권역별 표를 인구가중 평균해야 합니다. 이 점 때문에 신뢰도를 '중'으로 표기했습니다."",""badge_reason"":""공표 표의 값을 그대로 인용했으므로 R이지만, 공간 대표성 한계로 신뢰도는 '중'.""}",3
S03-I1,S03,열대야일수(수도권 권역),일/년,indirect,11,"3,7",negative,strong,R,mid,"2.8일(현재) → 24.1일(21세기 후반), 8.6배",,"[{""y"":2010,""v"":2.8,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":13.5,""b"":""E"",""c"":""low""},{""y"":2090,""v"":24.1,""b"":""R"",""c"":""mid""}]",,"{""definition"":""일최저기온이 25℃ 이상인 밤의 연간 일수. 야간 열해소 실패는 수면의 질과 냉방 에너지 수요, 취약계층 초과사망에 직접 연결되므로 도시 거주환경(SDG11) 지표로 배치했습니다."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 권역별 극한기후지수 표(수도권)"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""수도권 권역 표에서 현재 2.8일, 21세기 후반 24.1일을 인용(R)."",""중반기는 선형 보간(E).""],""assumptions"":[""도시열섬 효과의 미래 강화는 시나리오에 이미 부분 반영되어 있다고 전제(별도 가산 없음)""],""limits"":""열대야는 폭염보다 증가배수가 훨씬 큽니다(폭염 3.2배 vs 열대야 8.6배). 이는 최저기온이 최고기온보다 빠르게 오르기 때문이며, 적응대책이 낮 시간대 중심으로 설계되어 있다는 점에서 정책 사각지대를 시사합니다. 수도권 기준이라는 공간 한계는 S03-D3과 동일합니다."",""badge_reason"":""공표 표 인용 R, 보간점 E. 공간 대표성 한계로 신뢰도 '중'.""}",4
S03-I2,S03,연간 온열질환자 수,명,indirect,3,"10,13",negative,strong,E,low,"3,261명(2023-24 평균) → 약 6,100명(21세기 후반) 추정",,"[{""y"":2018,""v"":4526,""b"":""R"",""c"":""high""},{""y"":2023,""v"":2818,""b"":""R"",""c"":""high""},{""y"":2024,""v"":3704,""b"":""R"",""c"":""high""},{""y"":2050,""v"":5720,""b"":""E"",""c"":""low""},{""y"":2090,""v"":6132,""b"":""E"",""c"":""low""}]",,"{""definition"":""질병관리청 온열질환 응급실감시체계에 신고된 연간 온열질환자 수. K-SDGs 목표3(건강)의 기후 관련 건강영향 지표입니다."",""sources"":[{""title"":""2024년 여름철 온열질환자 3,704명(사망 34명), 전년(2,818명·32명) 대비 31.4% 증가"",""org"":""질병관리청"",""year"":2024,""url"":""https://www.kdca.go.kr/board/board.es?mid=a20501020000&bid=0015&list_no=726239&act=view""},{""title"":""2018년 온열질환자 4,526명·사망 48명(감시체계 개시 이후 최고치)"",""org"":""질병관리청"",""year"":2018,""url"":""https://kdca.go.kr/""},{""title"":""장래인구추계 65세 이상 비중·총인구"",""org"":""통계청"",""year"":2023,""url"":""https://www.korea.kr/briefing/policyBriefingView.do?newsId=156605259""}],""steps"":[""① 기준 발생률 산출: 2023~2024년 평균 환자 3,261명 ÷ 인구 5,133만 명 × 100만 = 63.5명/100만 명."",""② 폭염 탄력성 추정(M2): 2023년(전국 폭염일수 13.9일, 발생률 54.9) → 2024년(30.1일, 72.2)의 관측 2점으로부터 ε_heat = (+31.5%) ÷ (+116%) = 0.27 ≈ 0.30. 탄력성이 1보다 훨씬 작은 것은 냉방 보급·폭염경보 등 적응효과가 이미 작동하고 있음을 뜻합니다."",""③ 고령화 보정: 온열질환자의 30.4%가 65세 이상이고 고령층 사망 비중은 71%에 달합니다. 고령인구 비중이 1%p 오를 때 발생률이 2% 상승한다고 가정(ε_age = 0.02/%p)."",""④ 21세기 후반 계산: 폭염일수 7.8→25.0일(+220%) → 발생률 63.5 × (1 + 0.30×2.20) = 105.4. 고령비중 17.4%→47.7%(+30.3%p) → ×(1 + 0.02×30.3) = ×1.606 → 169.3명/100만 명."",""⑤ 인구 규모 반영: 169.3 × 36.22(백만 명, 2072년 총인구) = 6,132명."",""⑥ 2050년도 같은 절차: 폭염일수 16.0일, 고령비중 40.1%, 인구 4,711만 → 5,720명.""],""assumptions"":[""폭염 탄력성 0.30은 관측 2개년만으로 추정한 값입니다(표본이 극히 작음)"",""고령화 탄력성 0.02/%p는 온열질환자의 연령 구성비로부터 설정한 값이며 실증 추정치가 아닙니다"",""미래 적응수준(냉방 보급률, 무더위쉼터, 경보체계)이 현재 수준에서 더 개선되지 않는다고 가정 — 개선되면 과대추정"",""폭염일수는 수도권 권역 값을 전국 대리로 사용""],""limits"":""이 값은 정부 공식 전망이 아닌 이 대시보드의 추정입니다. 2018년(4,526명)과 2024년(3,704명)을 비교하면 폭염일수가 비슷해도 환자 수가 18% 줄었는데, 이는 적응이 실제로 작동한다는 증거입니다. 따라서 위 추정은 적응 개선을 반영하지 않은 상한 성격으로 보아야 합니다. 반대로 고령화 속도가 빠르다는 점은 추정을 하방 경직적으로 만듭니다. 자릿수와 방향으로만 읽으십시오."",""badge_reason"":""관측 실적치는 R, 미래 구간은 2단계 탄력성 모형에 의한 자체 추정이므로 E, 신뢰도 '하'.""}",5
S03-I3,S03,여름철 냉방 전력수요 증가율,% (현재 대비),indirect,7,"13,11",negative,medium,E,low,+8%(중반) → +14%(21세기 후반) 추정,,"[{""y"":2010,""v"":0,""b"":""S"",""c"":""high""},{""y"":2050,""v"":10.8,""b"":""E"",""c"":""low""},{""y"":2090,""v"":13.8,""b"":""E"",""c"":""low""}]",,"{""definition"":""기온 상승만으로 유발되는 여름철(6~8월) 냉방용 전력수요의 증가율. 기기 효율 개선이나 인구·산업 구조 변화는 제외한 순수 기온 효과입니다."",""sources"":[{""title"":""남한상세 기후변화 시나리오 기온 전망(SSP1-2.6 +1.8℃/+2.3℃)"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""},{""title"":""기온-전력수요 민감도 연구(여름철 기온 1℃당 최대전력 5~7% 변동)"",""org"":""전력거래소·에너지경제연구원 계열 연구 통설"",""year"":2020,""url"":""https://www.keei.re.kr/""}],""steps"":[""① 탄력성 계수법(M2) 적용: 여름철 평균기온 1℃ 상승당 냉방 전력수요 6.0% 증가(국내 연구에서 통상 인용되는 5~7% 범위의 중앙값)."",""② 21세기 후반 기온 상승 +2.3℃ → 2.3 × 6.0% = 13.8%."",""③ 중반기 +1.8℃ → 10.8%.""],""assumptions"":[""기온-수요 관계가 선형이고 계수 6%/℃가 미래에도 유지된다고 가정"",""냉방기기 효율 개선 효과를 반영하지 않음(반영 시 증가율은 낮아짐)"",""냉방 보급률 상승 효과도 반영하지 않음(반영 시 증가율은 높아짐)""],""limits"":""6%/℃는 널리 인용되지만 출처가 단일 확정 문서가 아니라 여러 연구의 공통 범위입니다. 또한 실제 기온-수요 곡선은 임계온도(약 24℃) 위에서 급격히 꺾이는 비선형 구조라, 고온 구간이 길어지는 고탄소 시나리오(S04)에서는 선형 가정이 과소추정으로 이어집니다. 저탄소 경로인 S03에서는 오차가 상대적으로 작습니다."",""badge_reason"":""기온 전망은 공표값이지만 전력수요 환산 계수가 자체 채택이므로 E.""}",6
S03-I4,S03,쌀 단위면적당 생산성 변화,% (현재 대비),indirect,2,"1,13",negative,medium,B,low,"약 −8%(21세기 후반) 추정, 고탄소 경로의 약 1/3 수준 피해",,"[{""y"":2010,""v"":0,""b"":""S"",""c"":""high""},{""y"":2050,""v"":-4,""b"":""E"",""c"":""low""},{""y"":2090,""v"":-8,""b"":""B"",""c"":""low""}]",,"{""definition"":""기후변화만을 원인으로 한 벼 단위면적당 수량(10a당 kg)의 변화율. 품종개량·재배기술 발전 효과는 제외한 순수 기후 영향입니다."",""sources"":[{""title"":""기후변화에 따른 벼 생산성 전망 연구(고탄소 경로에서 21세기 말 20~25% 감소)"",""org"":""농촌진흥청 국립농업과학원 계열 연구"",""year"":2021,""url"":""https://www.rda.go.kr/""},{""title"":""IPCC AR6 WGII — 온난화 수준별 주요 곡물 수량 반응"",""org"":""IPCC"",""year"":2022,""url"":""https://www.ipcc.ch/report/ar6/wg2/""}],""steps"":[""① 국제 벤치마크법(M4): 국내 연구는 주로 고탄소 경로(RCP8.5/SSP5-8.5)에서 21세기 말 벼 수량 20~25% 감소를 제시합니다. 저탄소 경로에 대한 국내 정량 전망은 공표된 것을 찾지 못했습니다."",""② IPCC AR6가 제시하는 곡물 수량-온난화 반응이 온난화 수준에 대략 비례한다는 점을 이용해, 온난화 비율로 스케일링했습니다: 저탄소 +2.3℃ ÷ 고탄소 +6.3℃ = 0.365."",""③ 고탄소 피해 −22%(20~25%의 중앙값) × 0.365 = −8.0%."",""④ 중반기는 절반 수준인 −4.0%로 선형 배분.""],""assumptions"":[""수량 감소가 온난화 폭에 선형 비례한다고 가정(실제로는 임계온도 초과 시 급격히 악화되는 비선형)"",""CO₂ 시비효과(고농도 CO₂가 광합성을 촉진해 수량을 일부 상쇄)를 별도로 반영하지 않음"",""품종개량·재배시기 조정 등 적응대책 효과 미반영""],""limits"":""이 대시보드에서 근거가 가장 약한 지표 중 하나입니다. 국내 저탄소 경로 벼 생산성 공식 전망이 없어 고탄소 연구값을 온난화 비율로 나눈 것이며, 비선형성 때문에 실제 피해는 이보다 작을 가능성이 높습니다(저탄소에서는 임계온도 초과 빈도가 훨씬 낮음). 즉 과대추정 쪽으로 치우쳐 있습니다. 정책 수치로 인용해서는 안 됩니다."",""badge_reason"":""국내 정량 전망 부재로 해외·타 시나리오 값을 참조·환산했으므로 B(국제비교·대리), 중간연도 배분은 E.""}",7
S04-D1,S04,남한 연평균기온 상승폭,℃ (현재 대비),direct,13,"11,3",negative,strong,R,high,전반기 +1.5℃ → 후반기 +6.3℃,SSP5-8.5(고탄소),"[{""y"":2010,""v"":0,""b"":""R"",""c"":""high""},{""y"":2030,""v"":1.5,""b"":""R"",""c"":""high""},{""y"":2050,""v"":3.4,""b"":""E"",""c"":""low""},{""y"":2090,""v"":6.3,""b"":""R"",""c"":""high""}]","[{""name"":""SSP1-2.6(비교)"",""points"":[{""y"":2010,""v"":0},{""y"":2030,""v"":1.3},{""y"":2050,""v"":1.8},{""y"":2090,""v"":2.3}]}]","{""definition"":""2000~2019년 20년 평균 대비 남한 육상 연평균기온 상승폭(℃). 표시 연도는 기간 중앙값입니다."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 — 고탄소(SSP5-8.5) 전반기 +1.5℃, 후반기 +6.3℃"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""보도자료 본문의 남한 평균 전망값을 인용(R)."",""중반기(2041~2060)는 남한 평균이 공표되지 않아, 고탄소 경로가 후반기로 갈수록 가속된다는 점을 반영해 2차식으로 보간했습니다: ΔT(t) = 1.5 + (6.3−1.5) × ((t−2030)/(2090−2030))² → 2050년 = 1.5 + 4.8×0.111 = 3.4℃(E)."",""선형 보간이라면 3.1℃가 되지만, 배출이 누적되는 경로에서는 승온이 가속되므로 2차식을 택했습니다.""],""assumptions"":[""중반기 보간에 2차 가속 함수 사용(선형 대비 +0.3℃ 차이)""],""limits"":""보간 함수 형태는 임의 선택입니다. 원 보고서의 중반기 표를 확인하면 반드시 대체해야 합니다. 전반기 값(+1.5℃)이 이미 관측된 승온과 비슷하다는 점에서 이 시나리오의 전반부는 현재 궤적과 크게 다르지 않습니다."",""badge_reason"":""공표 문장 값은 R, 자체 보간한 중반기만 E.""}",1
S04-D2,S04,남한 연강수량 변화율,% (현재 대비),direct,6,"13,11",negative,medium,R,high,후반기 +18% (저탄소 경로 +3%의 6배),SSP5-8.5(고탄소),"[{""y"":2010,""v"":0,""b"":""R"",""c"":""high""},{""y"":2030,""v"":0,""b"":""R"",""c"":""mid""},{""y"":2090,""v"":18,""b"":""R"",""c"":""high""}]","[{""name"":""SSP1-2.6(비교)"",""points"":[{""y"":2010,""v"":0},{""y"":2090,""v"":3}]}]","{""definition"":""2000~2019년 평균 대비 남한 연총강수량 변화율(%)."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 — 고탄소 후반기 강수량 +18%"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""보도자료 본문의 남한 평균 강수량 변화율을 인용(R). 전반기는 '변화 없음' 서술을 0%로 수치화(신뢰도 중).""],""assumptions"":[""'변화 없음'을 0%로 수치화""],""limits"":""총량 +18%는 '물이 풍부해진다'는 뜻이 아닙니다. 대기 수증기 보유량 증가(클라우지우스-클라페이롱 관계, 1℃당 약 7%)로 호우가 강해지는 동시에 무강수 지속기간도 길어져, 홍수와 가뭄이 같은 해에 나타나는 형태가 됩니다. S09(물수급)와 함께 읽어야 합니다."",""badge_reason"":""공표값 인용, R.""}",2
S04-D3,S04,폭염일수(수도권 권역),일/년,direct,3,"13,11",negative,strong,R,mid,"7.8일 → 86.4일, 여름 3개월 중 대부분이 폭염",SSP5-8.5(고탄소),"[{""y"":2010,""v"":7.8,""b"":""R"",""c"":""mid""},{""y"":2050,""v"":40,""b"":""E"",""c"":""low""},{""y"":2090,""v"":86.4,""b"":""R"",""c"":""mid""}]","[{""name"":""SSP1-2.6(비교)"",""points"":[{""y"":2010,""v"":7.8},{""y"":2050,""v"":16},{""y"":2090,""v"":25}]}]","{""definition"":""일최고기온 33℃ 이상 일수(연간). 기상청 권역별 표의 수도권 행 값입니다."",""sources"":[{""title"":""SSP 기반 남한상세 기후변화 시나리오 권역별 극한기후지수(수도권)"",""org"":""기상청"",""year"":2021,""url"":""https://www.kma.go.kr/kma/flexer/html/press/2021/12/23/ATC202112231916073_85b73f4a-2a60-4b89-b007-209beec48ad6.hwp.files/Sections1.html""}],""steps"":[""현재 7.8일, 후반기 86.4일은 공표 표 값(R)."",""중반기는 S04-D1과 동일한 2차 가속 함수로 보간: 7.8 + (86.4−7.8)×((2050−2010)/(2090−2010))² = 7.8 + 78.6×0.25 = 27.5일. 다만 폭염일수는 기온 상승에 대해 기온보다 더 빠르게 증가(임계값 초과 빈도이므로 볼록 함수)하므로 40일로 상향 조정했습니다(E).""],""assumptions"":[""중반기 보간에 가속 함수 + 임계값 볼록성 보정(+12.5일)을 임의 적용""],""limits"":""중반기 보정폭은 근거가 약한 판단값입니다. 86.4일이라는 후반기 값은 6~8월(92일) 중 94%가 폭염이라는 뜻으로, 현행 폭염경보 체계와 옥외노동 규제가 사실상 상시 발동되는 상태를 의미합니다. 수도권 기준이므로 남부지방은 더 심합니다."",""badge_reason"":""공표 표 값 R, 보간·보정한 중반기 E. 공간 대표성 한계로 신뢰도 '중'.""}",3
