target_id,goal_id,target_name,target_desc,order,display
4-2,G4,모든 아동에게 양질의 영유아 보육 및 교육 서비스의 이용기회를 보장하여 초등교육에 대비한다.,소관: 교육부,20,TRUE
4-3,G4,"모든 학습자들에게 성별과 장애유무에 관계없이 적정 비용으로 가능한 양질의 기술교육, 직업교육 및 대학교육을",소관: 교육부,21,TRUE
4-4,G4,"디지털화, 기술변화에 따라 취업, 양질의 일자리, 창업 활동에 필요한 전문기술 및 직업기술 등 적절한 기술을 가진",소관: 교육부,22,TRUE
4-5,G4,"교육에서의 성불평등을 해소하고, 장애인, 이주민, 취약상황에 처한 아동 등 취약계층이 모든 수준의 교육과",소관: 교육부,23,TRUE
4-6,G4,모든 청소년과 다수의 성인이 문해 및 산술능력을 갖추도록 한다.,소관: 교육부,24,TRUE
4-7,G4,"지속가능발전, 지속가능한 생활양식, 인권, 성평등, 평화와 비폭력문화 확산, 세계시민의식, 문화다양성 존중과",소관: 교육부·외교부,25,TRUE
4-8,G4,"아동, 장애인, 성별을 고려한 교육시설을 건립･개선하고, 안전하고 비폭력적이며, 포용적이고 효과적인 학습환경을",소관: 교육부,26,TRUE
4-9,G4,포용적이고 양질의 교육을 위해 모든 교육단계에서의 충분한 교육재정을 확보한다.,소관: 교육부,27,TRUE
4-10,G4,모든 교육단계에서 양질의 교육을 제공하기 위한 교사를 충분히 확보한다.,소관: 교육부,28,TRUE
5-1,G5,여성과 소녀를 대상으로 하는 모든 형태의 차별을 철폐한다.,소관: 여성가족부,29,TRUE
5-2,G5,"모든 여성과 소녀에 대해 모든 영역에서의 인신매매, 성적착취 등의 폭력을 철폐한다.",소관: 여성가족부,30,TRUE
5-3,G5,무보수 돌봄과 가사노동에 대해 인정하고 가치를 부여한다.,소관: 여성가족부·고용노동부,31,TRUE
5-4,G5,정치･경제･공적생활의 모든 의사결정 수준에서 여성의 완전하고 효과적인 참여와 리더십을 위해 평등한 기회를,소관: 여성가족부,32,TRUE
5-5,G5,성･재생산 건강과 권리에 대한 보편적으로 접근을 보장한다.,소관: 여성가족부,33,TRUE
5-6,G5,"여성권한 강화를 위해 핵심기술, 특히 정보통신기술에 대한 접근을 확대하고 여성인력을 양성한다.",소관: 여성가족부,34,TRUE
5-7,G5,모든 수준에서 성평등 및 모든 여성과 소녀의 권한 강화를 위한 견실한 정책과 법을 채택하고 증진한다.,소관: 여성가족부,35,TRUE
6-1,G6,모두를 위한 안전한 식수를 공평하게 공급한다.,소관: 환경부,36,TRUE
6-2,G6,모두에게 편리한 하수도 서비스를 제공한다.,소관: 환경부,37,TRUE
6-3,G6,수질오염 물질의 수계 유입을 최소화하여 수질개선을 담보한다.,소관: 환경부,38,TRUE
6-4,G6,물공급 안정성 도모를 위해 수자원을 효율적으로 사용한다.,소관: 환경부,39,TRUE
6-5,G6,수생태계의 건강성을 회복하고 다양성을 확대한다.,소관: 환경부,40,TRUE
6-6,G6,건강하고 안전한 물관리를 위해 지역공동체 참여를 지원하고 강화한다.,소관: 환경부,41,TRUE
7-1,G7,에너지 서비스에 대해 안정적이고 적정한 접근을 보장한다.,소관: 산업통상자원부,42,TRUE
7-2,G7,국가 에너지원에서 청정에너지 공급을 증대한다.,소관: 산업통상자원부,43,TRUE
7-3,G7,에너지를 절약하고 에너지 효율을 향상시킨다.,소관: 산업통상자원부·국토교통부,44,TRUE
7-4,G7,운송분야의 에너지소비로 인한 대기오염을 최소화한다.,소관: 환경부·산업통상자원부·국토교통부·해양수산부,45,TRUE
8-1,G8,모두가 행복해지는 경제성장을 한다.,소관: 기획재정부,46,TRUE
8-2,G8,좋은 일자리 창출을 위한 정책을 강화한다.,소관: 고용노동부,47,TRUE
8-3,G8,중소기업 및 소상공인의 성장을 촉진한다.,소관: 중소벤처기업부,48,TRUE
8-4,G8,동일한 가치노동에 대해 동일한 임금을 지급한다.,소관: 고용노동부·여성가족부,49,TRUE
8-5,G8,이주노동자 등 취약그룹 노동자들의 권리 보호를 확대한다.,소관: 고용노동부·법무부,50,TRUE
8-6,G8,모든 근로자의 권리를 보호하고 안전하고 건강한 근로 환경을 조성한다.,소관: 고용노동부,51,TRUE
9-1,G9,대다수 국민이 정보에 안정적으로 접근할 수 있도록 노력한다.,소관: 국토교통부·통계청,52,TRUE
9-2,G9,산업의 다양성을 추구하고 지속가능한 기업 활동의 기반마련을 통해 산업 경쟁력을 확보한다.,소관: 중소벤처기업부·금융위원회·산업통상자원부,53,TRUE
9-3,G9,기술 역량을 구축하고 고도화된 기술 상용화를 촉진하여 국제 경쟁력을 강화한다.,소관: 산업통상자원부·중소벤처기업부,54,TRUE
9-4,G9,국가 연구 인력과 자본을 확충하고 적절한 연구의 기획과 실행을 통해 국가 경제성장에 기여한다.,소관: 산업통상자원부,55,TRUE
9-5,G9,환경 친화적인 산업 활동과 기술 혁신을 통해 자원효율성이 높은 산업화를 추구한다.,소관: 산업통상자원부·환경부,56,TRUE
10-1,G10,하위 40% 인구의 가처분소득 증가율을 국가평균보다 높은 수준으로 달성하고 유지한다.,소관: 보건복지부·기획재정부,57,TRUE
10-2,G10,"나이, 성별, 장애여부, 지위 등과 관계없이 모든 사람에 대한 사회･경제･정치적 포용성을 확대한다.",소관: 보건복지부·고용노동부·기획재정부,58,TRUE
10-3,G10,"나이, 성별, 장애여부에 따른 차별적 대우를 철폐하여 공정한 기회를 제공한다.",소관: 보건복지부·고용노동부·기획재정부,59,TRUE
10-4,G10,"재정정책, 임금정책, 사회보호정책을 강화하여 더 높은 수준의 평등을 달성한다.",소관: 고용노동부·기획재정부·중소벤처기업부,60,TRUE
10-5,G10,내･외국인 권익을 균형적으로 보장하는 이민정책을 통한 상호문화 이해 환경을 조성한다.,소관: 법무부·여성가족부,61,TRUE
11-1,G11,"적절하고 부담 가능한 가격의 주택과 기본서비스에 대한 접근을 보장하고, 노후 주거지의 환경을 개선한다.",소관: 국토교통부,62,TRUE
11-2,G11,"안전하고 부담 가능한 가격의 교통시스템을 제공하고 특히 여성, 아동, 장애인, 노인 등 취약계층을 고려한",소관: 국토교통부·행정안전부,63,TRUE
11-3,G11,"도시의 포용성과 지속가능성을 제고하며, 주거지에 대한 참여적 통합적 계획 및 관리 역량을 강화한다.",소관: 국토교통부·행정안전부,64,TRUE
11-4,G11,세계유산을 보호하고 보존하기 위한 노력을 강화한다.,소관: 문화재청,65,TRUE
11-5,G11,"재난으로 인한 인명피해와 경제적 손실을 현저히 감소시키며, 통합적 도시재난 위기관리를 개발, 이행한다.",소관: 행정안전부·국토교통부,66,TRUE
11-6,G11,대기질 및 폐기물 관리 등 도시가 가지는 부정적인 환경영향을 감소시킨다.,소관: 환경부·산업통상자원부·행정안전부·해양수산부,67,TRUE
11-7,G11,"여성, 아동, 장애인, 고령자를 포함한 모든 이에게 공공 녹지공간으로의 안전하고 용이한 접근을 보장한다.",소관: 환경부·국토교통부,68,TRUE
12-1,G12,지속가능한 소비와 생산에 관한 통합적인 국가정책을 수립하고 이행한다.,소관: 기획재정부·환경부·산업통상자원부·중소벤처기업부,69,TRUE
12-2,G12,모든 자원을 지속가능하게 관리하고 효율적으로 사용한다.,소관: 환경부·산업통상자원부,70,TRUE
12-3,G12,식품의 생산･유통과정에서 발생하는 식품 손실과 소비과정에서 발생하는 식품폐기물을 감소시킨다.,소관: 환경부,71,TRUE
12-4,G12,화학물질과 유해폐기물의 친환경적 관리를 통해 인간의 건강을 보호하고 환경오염을 예방한다.,소관: 환경부,72,TRUE
12-5,G12,"폐기물의 원천예방과 감량, 재사용과 재활용을 통해 폐기물 발생을 감소한다.",소관: 환경부,73,TRUE
12-6,G12,기업의 지속가능 경영활동을 관리하고 지원을 확대한다.,소관: 산업통상자원부·중소벤처기업부,74,TRUE
12-7,G12,녹색 제품 인증 및 녹색 구매의 확대를 통해 지속가능한 녹색 소비를 촉진한다.,소관: 환경부·행정안전부·기획재정부,75,TRUE
12-8,G12,모든 국민이 지속가능발전에 대한 의식을 갖도록 환경교육 참여 기회를 확대한다.,소관: 환경부,76,TRUE
12-9,G12,"플라스틱이 선순환하도록 플라스틱의 재활용을 증가시키고, 친환경재료 개발을 통해 플라스틱의 환경으로 유출을",소관: 환경부,77,TRUE
12-10,G12,지속가능한 관광의 확대를 통해 환경보전에 기여한다.,소관: 환경부·문화체육관광부,78,TRUE
12-11,G12,화석연료 보조금을 단계적으로 철폐한다.,소관: 산업통상자원부,79,TRUE
13-1,G13,"기후변화로 인해 예상되는 위험을 감소시키고, 자연재해에 대한 회복 및 적응능력을 강화한다.",소관: 환경부·행정안전부·해양수산부·기상청·농촌진흥청,80,TRUE
13-2,G13,기후변화에 대한 조치계획을 지방정책 등에 반영하도록 노력한다.,소관: 환경부·산업통상자원부,81,TRUE
13-3,G13,기후변화 대응에 관한 역량을 강화한다.,소관: 환경부·산업통상자원부,82,TRUE
13-4,G13,지구의 온도 상승을 산업화 이전 수준에 비하여 2°C보다 아래로 유지하고 더 나아가 온도 상승을 1.5°C 까지,,83,TRUE
14-1,G14,육상과 해상의 오염물질로부터 해양환경 보전을 위한 관리체계를 확립한다.,소관: 해양수산부·환경부,84,TRUE
14-2,G14,바다의 생태환경과 수산자원의 서식처를 적극적으로 관리한다.,소관: 해양수산부·환경부,85,TRUE
14-3,G14,과학기술 협력 강화 등을 통한 해양 산성화에 의한 영향을 최소화한다.,소관: 해양수산부,86,TRUE
14-4,G14,수산자원을 지속가능하게 관리하고 과도한 어업을 지양한다.,소관: 해양수산부,87,TRUE
14-5,G14,해양생태계의 체계적인 보전과 현명한 이용을 위해 해양보호구역 지정 면적을 확대한다.,소관: 해양수산부·환경부,88,TRUE
14-6,G14,해양자원의 지속가능한 이용을 통해 경제적 이익을 확보한다.,,89,TRUE
14-7,G14,해양과학 연구역량 제고와 해양과학기술 이전을 확대한다.,소관: 해양수산부,90,TRUE
14-8,G14,소규모 영세어업인의 안정적 어업행위를 지원한다.,소관: 해양수산부,91,TRUE
14-9,G14,해양과 해양 자원의 보전과 지속가능한 이용에 대한 국제법을 국내법적으로 수용함으로써 해양과 해양 자원의 보전,,92,TRUE
15-1,G15,육상과 내륙담수의 생태계 다양화를 위해 보전과 복원 활동을 활성화한다.,소관: 환경부·산림청,93,TRUE
15-2,G15,"산림파괴 중단, 황폐화 된 산림복원 등 지속가능한 산림경영을 강화한다.",소관: 산림청,94,TRUE
15-3,G15,가뭄･홍수･개발 등으로 황폐화된 토지를 복원하기 위해 노력한다.,소관: 환경부·국토교통부·산림청,95,TRUE
15-4,G15,생물다양성 손실을 예방하기 위해 멸종위기종을 보호한다.,소관: 환경부·산림청·문화재청,96,TRUE
15-5,G15,동식물 보호종의 포획과 불법거래를 없애도록 노력한다.,소관: 환경부·기획재정부·문화재청,97,TRUE
15-6,G15,침입외래종의 유입을 예방하고 이들이 육지 및 수중 생태계에 미치는 영향을 줄이기 위한 조치를 취한다.,소관: 환경부·농림축산식품부·산림청·농촌진흥청,98,TRUE
15-7,G15,개발사업 등 인간활동으로 단절된 생태축의 복원과 생태 네트워크 유지･관리를 위해 노력한다.,,99,TRUE
16-1,G16,모든 형태의 폭력 및 폭력으로 인한 사망률을 대폭 감소시킨다.,소관: 경찰청·교육부,100,TRUE
16-2,G16,"아동에 대한 학대, 착취, 매매 및 모든 형태의 폭력과 고문을 종식한다.",소관: 경찰청·보건복지부,101,TRUE
16-3,G16,국내･국제적 차원에서 법치를 증진하며 모두가 평등하게 사법제도의 보호를 받도록 보장한다.,소관: 법무부·경찰청·행정안전부·국가인권위원회,102,TRUE
16-4,G16,"불법 자금 및 무기거래를 감소시키고, 불법취득자산의 환수와 반환조치를 강화하며, 모든 형태의 조직범죄를",,103,TRUE
16-5,G16,부정부패와 뇌물수수를 감소시킨다.,소관: 국민권익위원회,104,TRUE
16-6,G16,효과적이고 책임감 있는 정부정책과 제도를 수립･이행한다.,소관: 전부처,105,TRUE
16-7,G16,포용적이며 사회 각계각층의 시민참여도가 높은 의사결정을 보장한다.,소관: 전부처,106,TRUE
16-8,G16,모든 사람에게 출생 등록을 포함하여 법적 지위를 부여한다.,소관: 보건복지부·법무부,107,TRUE
16-9,G16,"국내법과 국제협정에 따라 정보에 대한 대중의 접근을 보장하고, 기본적 자유를 보호한다.",소관: 전부처,108,TRUE
16-10,G16,"개도국 내 폭력, 테러 및 범죄 퇴치를 위한 공공기관의 역량강화를 위해 국제협력을 강화한다.",,109,TRUE
16-11,G16,차별을 지양하기 위한 법과 정책을 수립하고 시행한다.,소관: 국가인권위원회,110,TRUE
16-12,G16,디지털 인권을 보호하고 강화한다.,소관: 국가인권위원회·법무부·경찰청,111,TRUE
16-13,G16,평화와 번영을 위한 남북한 협력을 증진한다.,,112,TRUE
17-1,G17,ODA를 확대하고 개발재원을 다양화한다.,소관: 외교부·기획재정부·국무조정실,113,TRUE
17-2,G17,다자무역체제를 촉진하고 개도국의 교역 및 투자증대를 지원한다.,소관: 기획재정부·지속가능발전위원회,114,TRUE
17-3,G17,개발도상국의 과학기술혁신시스템 강화를 지원한다.,소관: 외교부·기획재정부·지속가능발전위원회,115,TRUE
17-4,G17,전략적인 개발협력을 추진한다.,소관: 외교부·기획재정부·국무조정실,116,TRUE
17-5,G17,지속가능발전을 위한 정책일관성을 강화한다.,소관: 지속가능발전위원회,117,TRUE
17-6,G17,개발도상국의 지속가능발전을 위한 다양한 글로벌 파트너십을 강화한다.,소관: 외교부·지속가능발전위원회,118,TRUE
17-7,G17,"효과적인 공공, 공공-민간 및 시민사회 간 파트너십을 권장하고 촉진한다.",소관: 외교부·지속가능발전위원회·백만원·이행지원,119,TRUE
